Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 501, Cook County, Illinois",98.8,92.9,1.8,0,3.3,0,0.8,1.2
"Census Tract 502, Cook County, Illinois",98.3,82.5,3.4,0,4,0,8.3,1.7
"Census Tract 503, Cook County, Illinois",97,87.7,0.6,2,6.7,0,0,3
"Census Tract 505, Cook County, Illinois",93.9,89.8,0.6,0,2.1,0,1.4,6.1
"Census Tract 506, Cook County, Illinois",97.6,90.2,2.2,0,4.9,0,0.3,2.4
"Census Tract 507, Cook County, Illinois",98.9,94.6,1.1,0,1.3,0,1.7,1.1
"Census Tract 508, Cook County, Illinois",98.5,91.6,0.4,1.2,4.7,0,0.6,1.5
"Census Tract 509, Cook County, Illinois",99,93.4,0,0.7,4,0,0.9,1
"Census Tract 510, Cook County, Illinois",100,85,1.6,0,8.8,0,4.6,0
"Census Tract 511, Cook County, Illinois",97.4,84.4,6.2,0,3.6,0,3.3,2.6
"Census Tract 512, Cook County, Illinois",98.1,85.3,6.3,0.4,6.1,0,0,1.9
"Census Tract 513, Cook County, Illinois",97.8,92.1,1.9,0,1.2,0,2.6,2.2
"Census Tract 514, Cook County, Illinois",92.8,85,2.8,0,1.9,0,3.1,7.2
"Census Tract 601, Cook County, Illinois",99.2,91.1,6.2,0,0.8,0,1.1,0.8
"Census Tract 602, Cook County, Illinois",98.5,85.4,3.7,0,5.6,0,3.8,1.5
"Census Tract 603, Cook County, Illinois",100,96.5,0.3,0.2,3,0,0,0
"Census Tract 604, Cook County, Illinois",98.6,94.4,0,0.5,3.4,0,0.3,1.4
"Census Tract 605, Cook County, Illinois",97.6,80.7,3.7,0.8,11.7,0,0.7,2.4
"Census Tract 608, Cook County, Illinois",98.7,79.7,5.1,0,11.4,0,2.5,1.3
"Census Tract 609, Cook County, Illinois",95.2,79,6,1.9,5.4,0,2.9,4.8
"Census Tract 610, Cook County, Illinois",98.1,85.8,1.5,0,9.5,0,1.3,1.9
"Census Tract 611, Cook County, Illinois",100,95,0,0.8,4.2,0,0,0
"Census Tract 612, Cook County, Illinois",94.8,88.4,1.4,0.4,4.3,0,0.3,5.2
"Census Tract 615, Cook County, Illinois",98.3,92.3,1.4,0,3,0,1.6,1.7
"Census Tract 618, Cook County, Illinois",98.6,89.3,1.1,0,6.6,0.3,1.1,1.4
"Census Tract 619.01, Cook County, Illinois",98,81.5,3.7,0.3,10.9,0.4,1.2,2
"Census Tract 619.02, Cook County, Illinois",95.9,83.5,5.1,0,6.9,0,0.4,4.1
"Census Tract 620, Cook County, Illinois",97.4,87.2,5,0,4.4,0,0.8,2.6
"Census Tract 621, Cook County, Illinois",98.5,84,0.8,0,12.7,0,1,1.5
"Census Tract 622, Cook County, Illinois",98.1,89.7,1.4,0,4.5,0,2.5,1.9
"Census Tract 623, Cook County, Illinois",97.1,93.3,0,0,3.5,0,0.2,2.9
"Census Tract 624, Cook County, Illinois",99.7,91.2,1.5,0,6.1,0,1,0.3
"Census Tract 625, Cook County, Illinois",98.2,92.3,0,0,4.5,0,1.4,1.8
"Census Tract 626, Cook County, Illinois",97,87.8,0.9,0,8,0,0.2,3
"Census Tract 627, Cook County, Illinois",95.1,90.2,0.9,0,0.2,0,3.8,4.9
"Census Tract 628, Cook County, Illinois",97.7,85.8,3.6,0,7.2,0,1.1,2.3
"Census Tract 629, Cook County, Illinois",98.6,93.2,0.2,0,4.7,0,0.4,1.4
"Census Tract 630, Cook County, Illinois",95.8,86.5,1.8,0.5,5.7,0,1.4,4.2
"Census Tract 631, Cook County, Illinois",96.8,84.8,2.6,0,7.4,0,2,3.2
"Census Tract 632, Cook County, Illinois",98,80.1,4.4,0,12.6,0,1,2
"Census Tract 633.01, Cook County, Illinois",98.5,81.7,6.3,0,10.5,0,0,1.5
"Census Tract 633.02, Cook County, Illinois",98.4,89.5,1.3,0,7.1,0,0.5,1.6
"Census Tract 633.03, Cook County, Illinois",100,95.1,2.9,0,2,0,0,0
"Census Tract 634, Cook County, Illinois",97.4,86.8,6.2,0,4.4,0,0,2.6
"Census Tract 701.01, Cook County, Illinois",96.7,90.3,1.8,0,4.6,0,0,3.3
"Census Tract 701.02, Cook County, Illinois",99.2,78,9.4,1.8,7.7,0,2.3,0.8
"Census Tract 701.03, Cook County, Illinois",100,89.3,2.1,0,8.2,0,0.3,0
"Census Tract 702, Cook County, Illinois",97.4,88.1,3.9,0,4.1,0,1.4,2.6
"Census Tract 703, Cook County, Illinois",96.9,84.8,0.9,0,8.9,0,2.3,3.1
"Census Tract 704, Cook County, Illinois",99.1,94.1,3.1,0,1.1,0,0.8,0.9
"Census Tract 705, Cook County, Illinois",99.2,88.7,3.7,1.2,4,0,1.7,0.8
"Census Tract 706, Cook County, Illinois",99.1,96.3,1.7,0,1.1,0,0,0.9
"Census Tract 707, Cook County, Illinois",99,82.5,2.7,0,8.7,0,5,1
