Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 2315, Cook County, Illinois",98.8,2.5,92.6,0.1,0,0,3.5,1.2
"Census Tract 2402, Cook County, Illinois",98.4,87.6,0.9,0,3,0,6.9,1.6
"Census Tract 2403, Cook County, Illinois",98.1,91.6,0,0,6.5,0,0,1.9
"Census Tract 2405, Cook County, Illinois",96.1,83.1,0.6,0,6.7,0,5.7,3.9
"Census Tract 2406, Cook County, Illinois",99,77.3,2.5,0,1.5,0,17.7,1
"Census Tract 2407, Cook County, Illinois",98.6,68.8,5,0,9.1,0,15.7,1.4
"Census Tract 2408, Cook County, Illinois",97.9,74.5,7.9,0,1.6,0,13.9,2.1
"Census Tract 2409, Cook County, Illinois",92.6,56,12.2,0.9,7.8,0,15.7,7.4
"Census Tract 2410, Cook County, Illinois",99.3,53.7,31.8,0.7,0,0,13.2,0.7
"Census Tract 2411, Cook County, Illinois",97.7,67.4,12,0,2.7,0,15.5,2.3
"Census Tract 2412, Cook County, Illinois",99.7,70.1,7.2,0,13.8,0,8.6,0.3
"Census Tract 2413, Cook County, Illinois",99.8,73.4,14.8,0.6,2.2,0,8.8,0.2
"Census Tract 2414, Cook County, Illinois",95.8,72.6,15.9,0,5.3,0,2,4.2
"Census Tract 2415, Cook County, Illinois",98.2,82.6,1.5,0.5,3.3,0,10.3,1.8
"Census Tract 2416, Cook County, Illinois",96.6,82.2,4.6,0,6,0,3.8,3.4
"Census Tract 2420, Cook County, Illinois",94.3,62,21.8,0.7,1.6,0,8.3,5.7
"Census Tract 2421, Cook County, Illinois",98.5,83.2,4.3,0.3,1.9,0,8.9,1.5
"Census Tract 2422, Cook County, Illinois",98.6,85,5.6,0.9,4.5,0,2.6,1.4
"Census Tract 2423, Cook County, Illinois",97.9,87,2.2,1,2.7,0,5,2.1
"Census Tract 2424, Cook County, Illinois",98.3,89.1,1.2,0,2.4,0,5.5,1.7
"Census Tract 2425, Cook County, Illinois",98.1,74.7,2.9,0,1.4,0,19,1.9
"Census Tract 2426, Cook County, Illinois",95.4,63.2,10.4,0.5,2.6,0,18.6,4.6
"Census Tract 2427, Cook County, Illinois",94.6,34.3,29.9,0,2.4,0,28.1,5.4
"Census Tract 2428, Cook County, Illinois",100,87.1,0.6,0,2.8,0,9.5,0
"Census Tract 2429, Cook County, Illinois",95.2,73,5.6,0.6,1.3,0,14.7,4.8
"Census Tract 2430, Cook County, Illinois",100,87,0.1,0,2,0,10.9,0
"Census Tract 2431, Cook County, Illinois",100,66.2,4.1,0.9,1.3,0,27.5,0
"Census Tract 2432, Cook County, Illinois",96.7,75.6,0.9,0,2.3,0,17.9,3.3
"Census Tract 2433, Cook County, Illinois",98.9,81.5,4.2,0.9,5.8,0,6.6,1.1
"Census Tract 2434, Cook County, Illinois",97.3,69.3,6.4,0.6,6.4,0,14.8,2.7
"Census Tract 2435, Cook County, Illinois",96.4,77.6,11.7,0,4.8,0,2.3,3.6
"Census Tract 2502, Cook County, Illinois",99.7,13.4,62.1,0,0.7,0,23.4,0.3
"Census Tract 2503, Cook County, Illinois",99.6,3.5,74.8,0,1.2,0.6,19.5,0.4
"Census Tract 2504, Cook County, Illinois",98.3,3.6,83.5,0,0.3,0,11,1.7
"Census Tract 2505, Cook County, Illinois",97.2,56,30,0,2.1,0,9.1,2.8
"Census Tract 2506, Cook County, Illinois",99.5,2.2,92,0,0,0,5.4,0.5
"Census Tract 2507, Cook County, Illinois",100,1.3,96.7,0,0.4,0,1.6,0
"Census Tract 2508, Cook County, Illinois",99.1,2.9,89.6,0,0,0,6.6,0.9
"Census Tract 2510, Cook County, Illinois",100,7.9,92.1,0,0,0,0,0
"Census Tract 2511, Cook County, Illinois",97.9,5.5,89.7,0,0.4,0,2.3,2.1
"Census Tract 2512, Cook County, Illinois",97.1,2.4,90.1,2.2,0,0,2.5,2.9
"Census Tract 2513, Cook County, Illinois",99.4,3.4,93.8,0,0,0,2.2,0.6
"Census Tract 2514, Cook County, Illinois",100,3.8,94,0.3,1.9,0,0,0
"Census Tract 2515, Cook County, Illinois",100,4.4,93.3,0,0,0,2.3,0
"Census Tract 2516, Cook County, Illinois",100,1.2,93.9,0,0,0,4.9,0
"Census Tract 2517, Cook County, Illinois",100,5.9,79.9,1.3,0.7,0,12.1,0
"Census Tract 2518, Cook County, Illinois",100,0.2,99.3,0.5,0,0,0,0
"Census Tract 2519, Cook County, Illinois",100,1.7,96.3,0.5,0,0,1.5,0
"Census Tract 2520, Cook County, Illinois",100,4.5,95.4,0,0.2,0,0,0
"Census Tract 2521.01, Cook County, Illinois",97.4,0.6,90.8,0,0,0,6,2.6
"Census Tract 2521.02, Cook County, Illinois",99.8,0,99.8,0,0,0,0,0.2
"Census Tract 2522.01, Cook County, Illinois",99.6,5.7,93.8,0,0.1,0,0,0.4
"Census Tract 2522.02, Cook County, Illinois",99.4,1.5,97.8,0.2,0,0,0,0.6
"Census Tract 2601, Cook County, Illinois",100,6.4,93.6,0,0,0,0,0
"Census Tract 2602, Cook County, Illinois",100,2.9,97.1,0,0,0,0,0
"Census Tract 2603, Cook County, Illinois",99.2,2.3,93.7,0,0,0,3.3,0.8
"Census Tract 2604, Cook County, Illinois",99.2,0.5,98.5,0,0.1,0,0.1,0.8
"Census Tract 2605, Cook County, Illinois",100,0.3,99.6,0,0.1,0,0,0
"Census Tract 2606, Cook County, Illinois",99,3.3,95.8,0,0,0,0,1
"Census Tract 2607, Cook County, Illinois",99.3,1.5,96.9,0,0.9,0,0,0.8
"Census Tract 2608, Cook County, Illinois",100,0,99.8,0,0.2,0,0,0
"Census Tract 2609, Cook County, Illinois",100,4.2,95.1,0.7,0,0,0,0
"Census Tract 2610, Cook County, Illinois",100,0,99.5,0,0,0,0.5,0
"Census Tract 2705, Cook County, Illinois",97.9,6.4,90.7,0.8,0,0,0,2.1
"Census Tract 2712, Cook County, Illinois",99.9,1.3,97.8,0,0,0,0.9,0.1
"Census Tract 2713, Cook County, Illinois",100,0.9,98.8,0,0,0,0.3,0
"Census Tract 2714, Cook County, Illinois",100,3.3,95.3,0,0,0,1.4,0
"Census Tract 2715, Cook County, Illinois",99.4,0.3,99.1,0,0,0,0,0.6
"Census Tract 2718, Cook County, Illinois",100,2,98,0,0,0,0,0
"Census Tract 2801, Cook County, Illinois",99.2,83.7,4,0.3,10.2,0,1,0.8
"Census Tract 2804, Cook County, Illinois",100,10.1,86,0,2.8,0,1.1,0
"Census Tract 2808, Cook County, Illinois",98.8,10.2,88.2,0,0,0,0.4,1.2
"Census Tract 2809, Cook County, Illinois",96.6,9.9,85.1,0,0,0,1.6,3.4
"Census Tract 2819, Cook County, Illinois",97.3,54.8,8.1,0,34.5,0,0,2.7
"Census Tract 2827, Cook County, Illinois",97.2,33,50.3,0,4.9,0,9,2.8
"Census Tract 2828, Cook County, Illinois",98.1,49.5,24.5,0,14.6,0,9.4,1.9
"Census Tract 2831, Cook County, Illinois",98.3,23.2,51.9,0,23.2,0,0,1.7
"Census Tract 2832, Cook County, Illinois",95.3,35.7,38.9,1.3,18.5,0,0.9,4.7
"Census Tract 2838, Cook County, Illinois",97.1,30.7,49.8,0.7,13.3,0,2.5,2.9
"Census Tract 2909, Cook County, Illinois",98.6,1.1,97.5,0,0,0,0,1.4
"Census Tract 2912, Cook County, Illinois",99.8,1.4,98.4,0,0,0,0,0.2
"Census Tract 2916, Cook County, Illinois",100,27.8,17.3,0,0.4,0,54.6,0
"Census Tract 2922, Cook County, Illinois",99.5,2.1,97.4,0,0,0,0,0.5
"Census Tract 2924, Cook County, Illinois",99.8,5.3,94.5,0,0,0,0,0.2
"Census Tract 2925, Cook County, Illinois",99.8,1.2,98.5,0,0,0,0,0.2
"Census Tract 3005, Cook County, Illinois",99.2,62.6,2.6,0,0.5,0,33.4,0.8
"Census Tract 3006, Cook County, Illinois",98.4,61,15.2,0,0.1,0,22,1.6
"Census Tract 3007, Cook County, Illinois",100,69.7,1.7,0.7,0,0,27.8,0
"Census Tract 3008, Cook County, Illinois",97.6,63.6,0.4,0,0,0,33.5,2.4
"Census Tract 3009, Cook County, Illinois",100,72.5,1.7,0.3,0.1,0,25.4,0
"Census Tract 3011, Cook County, Illinois",100,63.1,3.4,0.9,0,0,32.6,0
"Census Tract 3012, Cook County, Illinois",99.4,66.5,6.7,3.3,0,0,22.8,0.6
"Census Tract 3016, Cook County, Illinois",100,74.6,3,0.3,0,0,22.1,0
"Census Tract 3017.01, Cook County, Illinois",100,91.1,0.1,0,0,0,8.8,0
"Census Tract 3017.02, Cook County, Illinois",100,75.3,0,0,0,0,24.7,0
"Census Tract 3018.01, Cook County, Illinois",100,79.5,4.6,0,0,0,15.9,0
"Census Tract 3018.02, Cook County, Illinois",99.5,65.5,0.5,0.9,0,0,32.5,0.5
"Census Tract 3018.03, Cook County, Illinois",97.8,67,0,0.3,0.4,0,30.1,2.2
"Census Tract 3102, Cook County, Illinois",96.9,63.3,2.2,0,2.1,0,29.2,3.1
"Census Tract 3103, Cook County, Illinois",95,43.1,6,0,5.8,0,40.1,5
"Census Tract 3104, Cook County, Illinois",99.2,60.7,5.3,3.2,2.2,0,28,0.8
"Census Tract 3105, Cook County, Illinois",97.7,52,0.4,0.2,0.1,0,44.9,2.3
"Census Tract 3106, Cook County, Illinois",94.5,45.7,10.3,0,2.4,0,36.2,5.5
"Census Tract 3107, Cook County, Illinois",99.5,60,7.2,0,2.7,0,29.6,0.5
"Census Tract 3108, Cook County, Illinois",98.9,54.1,0.7,0.6,0,0,43.5,1.1
"Census Tract 3109, Cook County, Illinois",99.2,52.5,2.2,0.1,1,0,43.3,0.8
"Census Tract 3201, Cook County, Illinois",98.1,70.1,8,0.1,18.3,0,1.6,1.9
"Census Tract 3204, Cook County, Illinois",98.6,66.4,17.1,0,13,0,2.2,1.4
"Census Tract 3206, Cook County, Illinois",97,63.6,14.5,0.2,15.7,0,2.9,3
"Census Tract 3301, Cook County, Illinois",96.1,55.1,21.1,0.2,17.5,0,2.1,3.9
"Census Tract 3302, Cook County, Illinois",96.7,46.7,31.4,0,18.3,0,0.3,3.3
"Census Tract 3403, Cook County, Illinois",95.7,19.1,0.5,0,76.1,0,0,4.3
"Census Tract 3404, Cook County, Illinois",93.9,11.9,0.1,0,74.8,4,3.1,6.1
"Census Tract 3405, Cook County, Illinois",100,52.7,13.4,0.3,23.2,0,10.4,0
"Census Tract 3406, Cook County, Illinois",99.6,0,99.6,0,0,0,0,0.4
"Census Tract 3501, Cook County, Illinois",97.2,9.1,56.6,0.4,29.7,0,1.2,2.8
"Census Tract 3504, Cook County, Illinois",97.7,0,92.1,0,0,0,5.5,2.3
"Census Tract 3510, Cook County, Illinois",99.6,3.3,70,0,26.3,0,0,0.4
"Census Tract 3511, Cook County, Illinois",99.7,0.4,98.9,0,0,0.4,0,0.3
"Census Tract 3514, Cook County, Illinois",99.2,13.2,84.3,0,1.7,0,0,0.8
"Census Tract 3515, Cook County, Illinois",100,17,57.6,0,25.4,0,0,0
"Census Tract 3602, Cook County, Illinois",100,0,92,0,6.3,0,1.7,0
"Census Tract 3801, Cook County, Illinois",99.2,9.5,89,0.6,0.1,0,0,0.8
"Census Tract 3802, Cook County, Illinois",98.5,7.4,89.3,0,1.3,0.5,0,1.5
"Census Tract 3805, Cook County, Illinois",99.6,0.4,99.3,0,0,0,0,0.4
"Census Tract 3807, Cook County, Illinois",99.1,20.9,77.6,0,0.6,0,0,0.9
"Census Tract 3812, Cook County, Illinois",98.4,1.3,95.9,0,0,0,1.2,1.6
"Census Tract 3814, Cook County, Illinois",100,0.3,98.9,0,0,0,0.8,0
"Census Tract 3815, Cook County, Illinois",100,1.7,89.3,0,9,0,0,0
"Census Tract 3817, Cook County, Illinois",,,,,,,,
"Census Tract 3818, Cook County, Illinois",97.5,9.5,68.5,0.8,0,0,18.7,2.5
"Census Tract 3819, Cook County, Illinois",97.5,7.1,90.4,0,0,0,0,2.5
"Census Tract 3901, Cook County, Illinois",96.4,2.5,93.5,0,0.3,0,0,3.6
"Census Tract 3902, Cook County, Illinois",99.5,6.5,91,0,2.1,0,0,0.5
"Census Tract 3903, Cook County, Illinois",99.1,5.9,92.1,0,0.1,0,1,0.9
"Census Tract 3904, Cook County, Illinois",99,4.7,92.3,1.3,0.7,0,0,1
"Census Tract 3905, Cook County, Illinois",99.5,19.7,71,0.9,7.3,0,0.6,0.5
"Census Tract 3906, Cook County, Illinois",90,44.2,39.1,0,4.7,0,2,10
"Census Tract 3907, Cook County, Illinois",98.4,35.5,46.4,0,15.6,0,0.9,1.6
"Census Tract 4003, Cook County, Illinois",100,0,99.1,0,0,0,0.9,0
"Census Tract 4004, Cook County, Illinois",99.3,0.1,99.3,0,0,0,0,0.7
"Census Tract 4005, Cook County, Illinois",99,0,99,0,0,0,0,1
"Census Tract 4008, Cook County, Illinois",99.1,0.1,99,0,0,0,0,0.9
"Census Tract 4101, Cook County, Illinois",96.5,29,50.4,0,3.7,0,13.4,3.5
"Census Tract 4102, Cook County, Illinois",94.6,42.7,21.3,2.6,28,0,0,5.4
"Census Tract 4105, Cook County, Illinois",97.7,30.2,57.3,0,10.1,0,0.1,2.3
"Census Tract 4106, Cook County, Illinois",98.4,47.4,39.1,0,11.4,0,0.5,1.6
"Census Tract 4107, Cook County, Illinois",95.9,51.3,25,0,17.1,0,2.5,4.1
"Census Tract 4108, Cook County, Illinois",96.3,35.7,44,0,12,0,4.6,3.7
"Census Tract 4109, Cook County, Illinois",96.8,58.6,31.2,0,4.4,0,2.6,3.2
"Census Tract 4110, Cook County, Illinois",95.8,58.2,26.8,0.6,9.6,0.1,0.4,4.2
"Census Tract 4111, Cook County, Illinois",99.2,69.3,5.4,0.1,24,0,0.4,0.8
"Census Tract 4112, Cook County, Illinois",97.6,72.4,12.7,0,12.3,0,0.2,2.4
"Census Tract 4201, Cook County, Illinois",99.1,4.8,93,0,1.3,0,0,0.9
"Census Tract 4202, Cook County, Illinois",96,22.9,64.6,0.7,7.2,0,0.7,4
"Census Tract 4203, Cook County, Illinois",99,41.4,44.3,0,12.5,0,0.7,1
"Census Tract 4204, Cook County, Illinois",98.7,25.5,53.3,0,17.8,0,2.1,1.3
"Census Tract 4205, Cook County, Illinois",95.7,0.5,93.8,0,1.4,0,0,4.3
"Census Tract 4206, Cook County, Illinois",99.6,4,95.1,0,0.4,0,0,0.4
"Census Tract 4207, Cook County, Illinois",98.7,3.3,95.1,0,0,0,0.3,1.3
"Census Tract 4208, Cook County, Illinois",98.6,1.8,95.2,0.6,0,0,1,1.4
"Census Tract 4212, Cook County, Illinois",100,0,99,0,1,0,0,0
"Census Tract 4301.01, Cook County, Illinois",90.8,1.9,88.9,0,0,0,0,9.2
"Census Tract 4301.02, Cook County, Illinois",98.8,1.5,96.8,0.5,0,0,0,1.2
"Census Tract 4302, Cook County, Illinois",99.9,0.5,94.7,0.7,1,0,3,0.1
"Census Tract 4303, Cook County, Illinois",99.8,0.2,98.1,1.5,0,0,0,0.2
"Census Tract 4304, Cook County, Illinois",97,1.2,95.7,0,0.2,0,0,3
"Census Tract 4305, Cook County, Illinois",98.5,0.9,96.6,0,0,0,1.1,1.5
"Census Tract 4306, Cook County, Illinois",96.9,1.1,95.8,0,0,0,0,3.1
"Census Tract 4307, Cook County, Illinois",97.2,2.6,94,0,0,0,0.7,2.8
"Census Tract 4308, Cook County, Illinois",99.6,1.6,95,0.7,0,0.8,1.6,0.4
"Census Tract 4309, Cook County, Illinois",100,1.4,98.2,0,0.4,0,0,0
"Census Tract 4312, Cook County, Illinois",99.5,1.7,95.7,0,0,0,2.1,0.5
"Census Tract 4313.01, Cook County, Illinois",97.9,1.4,94.4,1.7,0,0,0.4,2.1
"Census Tract 4313.02, Cook County, Illinois",93.6,0.1,93.4,0,0,0,0.1,6.4
"Census Tract 4314, Cook County, Illinois",98.8,5,93.3,0,0.2,0,0.4,1.2
"Census Tract 4401.01, Cook County, Illinois",99.6,0.4,98.5,0,0.5,0,0.2,0.4
"Census Tract 4401.02, Cook County, Illinois",100,0.8,99.2,0,0,0,0,0
"Census Tract 4402.01, Cook County, Illinois",99.2,0.4,98.6,0,0,0,0.2,0.8
"Census Tract 4402.02, Cook County, Illinois",97.9,0.2,97.4,0,0,0,0.2,2.1
"Census Tract 4403, Cook County, Illinois",96.6,2.1,94.5,0,0,0,0,3.4
"Census Tract 4406, Cook County, Illinois",100,0.8,98.3,0.6,0,0,0.2,0
"Census Tract 4407, Cook County, Illinois",98.8,0.3,98,0,0.5,0,0,1.2
"Census Tract 4408, Cook County, Illinois",99.8,0,98.7,0,0,0,1.1,0.2
"Census Tract 4409, Cook County, Illinois",99.4,0.1,99.3,0,0,0,0,0.6
"Census Tract 4503, Cook County, Illinois",99.4,4.2,95,0,0,0,0.1,0.6
"Census Tract 4601, Cook County, Illinois",97.9,19.2,75,0,0,0,3.7,2.1
"Census Tract 4602, Cook County, Illinois",100,44.4,49.3,0,0,0,6.3,0
"Census Tract 4603.01, Cook County, Illinois",99.2,20.2,69,0,0,0,10,0.8
"Census Tract 4603.02, Cook County, Illinois",98.1,2.2,91.3,0,3,0,1.6,1.9
"Census Tract 4604, Cook County, Illinois",100,0.2,99.2,0,0,0,0.6,0
"Census Tract 4605, Cook County, Illinois",97.6,2.1,95.5,0,0,0,0,2.4
"Census Tract 4606, Cook County, Illinois",100,14.4,80.2,0,0,0,5.4,0
"Census Tract 4607, Cook County, Illinois",98.2,28.5,55.7,0,1,0,13,1.8
"Census Tract 4610, Cook County, Illinois",99.2,33.6,58.3,0.7,0,0,6.6,0.8
"Census Tract 4701, Cook County, Illinois",100,0.6,99.4,0,0,0,0,0
"Census Tract 4801, Cook County, Illinois",100,1.9,97.5,0.4,0,0,0.3,0
"Census Tract 4802, Cook County, Illinois",99.5,0,99.5,0,0,0,0,0.5
"Census Tract 4803, Cook County, Illinois",98.8,2,95.5,0,0,0,1.3,1.2
"Census Tract 4804, Cook County, Illinois",99.2,1.1,97.3,0,0.2,0,0.7,0.8
"Census Tract 4805, Cook County, Illinois",99,9.4,80.6,0,0,0,8.9,1
"Census Tract 4903, Cook County, Illinois",96.2,1.8,94.4,0,0,0,0,3.8
"Census Tract 4904, Cook County, Illinois",100,0,97.7,0,2.3,0,0,0
"Census Tract 4905, Cook County, Illinois",99.8,2.3,95.9,0,1.6,0,0,0.2
"Census Tract 4906, Cook County, Illinois",98.4,0.3,98.1,0,0,0,0,1.6
"Census Tract 4907, Cook County, Illinois",98.9,0.9,96.8,0,0.3,0,0.9,1.1
"Census Tract 4908, Cook County, Illinois",98.1,3.4,94.1,0,0,0,0.6,1.9
"Census Tract 4909.01, Cook County, Illinois",99.2,1.7,96.8,0,0.7,0,0,0.8
"Census Tract 4909.02, Cook County, Illinois",100,0.5,98.7,0,0.7,0,0,0
"Census Tract 4910, Cook County, Illinois",99.9,0.6,99.2,0,0,0,0,0.1
"Census Tract 4911, Cook County, Illinois",100,2.1,97.4,0,0,0,0.5,0
"Census Tract 4912, Cook County, Illinois",100,0.1,99.4,0,0.5,0,0,0
"Census Tract 4913, Cook County, Illinois",98.3,1.2,97.1,0,0,0,0,1.7
"Census Tract 4914, Cook County, Illinois",99.6,1.3,98.2,0,0,0,0,0.4
"Census Tract 5001, Cook County, Illinois",99.8,0.7,98.5,0,0.3,0,0.3,0.2
"Census Tract 5002, Cook County, Illinois",99.3,4.3,93.8,0,0.9,0,0.3,0.7
"Census Tract 5003, Cook County, Illinois",99.3,57,32,0,0,0,10.4,0.7
"Census Tract 5101, Cook County, Illinois",98.8,56.9,5.2,0,0,0,36.7,1.2
"Census Tract 5102, Cook County, Illinois",99.5,14.5,81,0,0.3,0,3.8,0.5
"Census Tract 5103, Cook County, Illinois",98,0.7,95.4,0,0.6,0.2,1.1,2
"Census Tract 5201, Cook County, Illinois",95.4,69.3,6.4,1.2,0,0,18.5,4.6
"Census Tract 5202, Cook County, Illinois",98.2,76.8,11.9,0,0,0,9.5,1.8
"Census Tract 5203, Cook County, Illinois",97.7,79,0.7,0.4,0.5,0,17.2,2.3
"Census Tract 5204, Cook County, Illinois",98.4,72.1,4.8,0.5,0,0,21,1.6
"Census Tract 5205, Cook County, Illinois",98.9,86.4,0.6,0.6,0.2,0,11,1.1
"Census Tract 5206, Cook County, Illinois",97.6,77,0,0.7,2.5,0,17.4,2.4
"Census Tract 5301, Cook County, Illinois",100,32.5,53.5,0.3,0,0,13.7,0
"Census Tract 5302, Cook County, Illinois",99.5,0,99.5,0,0,0,0,0.5
"Census Tract 5303, Cook County, Illinois",99,1.4,97.6,0,0,0,0,1
"Census Tract 5304, Cook County, Illinois",100,0.9,98,0,0,0,1,0
"Census Tract 5305.01, Cook County, Illinois",98,1.5,96.5,0,0,0,0,2
"Census Tract 5305.02, Cook County, Illinois",100,0.8,99.2,0,0,0,0,0
"Census Tract 5305.03, Cook County, Illinois",99.3,0.9,97.4,0,0.9,0,0,0.7
"Census Tract 5306, Cook County, Illinois",100,3.3,96.3,0.4,0,0,0,0
"Census Tract 5401.01, Cook County, Illinois",99.9,5.1,94.4,0.4,0,0,0,0.1
"Census Tract 5401.02, Cook County, Illinois",99.7,0,97.2,0,0,0,2.5,0.3
"Census Tract 5501, Cook County, Illinois",96.6,77,10.1,0.9,0.5,0,8.2,3.4
"Census Tract 5502, Cook County, Illinois",95.8,90.7,1.1,0,0,0,4,4.2
"Census Tract 5601, Cook County, Illinois",100,66,7.8,0,14.1,0,12.1,0
"Census Tract 5602, Cook County, Illinois",99.7,18.6,78.6,0.3,0.5,0,1.7,0.3
"Census Tract 5603, Cook County, Illinois",98.7,50.1,12.2,0,7,0,29.4,1.3
"Census Tract 5604, Cook County, Illinois",100,69.4,0,0.8,6.8,0,23,0
"Census Tract 5607, Cook County, Illinois",94.4,77,0.1,0,0,0,17.3,5.6
"Census Tract 5608, Cook County, Illinois",93.9,82.4,1,0,0.2,0,10.5,6.1
"Census Tract 5609, Cook County, Illinois",97.9,83.5,0.4,0,0.9,0,13.2,2.1
"Census Tract 5610, Cook County, Illinois",98.5,82.7,0,0,0,0,15.7,1.5
"Census Tract 5611, Cook County, Illinois",98,85.1,0,0,0,0,12.9,2
"Census Tract 5701, Cook County, Illinois",96.9,78.7,0,3.2,2.3,0,12.7,3.1
"Census Tract 5702, Cook County, Illinois",99.7,74.9,1,0.3,3.8,0,19.7,0.3
"Census Tract 5703, Cook County, Illinois",99.1,66.7,0,0,0.6,0,31.7,0.9
"Census Tract 5704, Cook County, Illinois",99.2,67.4,0.8,0,0,0,31,0.8
"Census Tract 5705, Cook County, Illinois",100,55.1,7.4,0,2.3,0,35.2,0
"Census Tract 5801, Cook County, Illinois",100,59.9,0.5,0,20.5,0,19.1,0
"Census Tract 5802, Cook County, Illinois",99.6,45.9,1.7,0.6,9,0,42.4,0.4
"Census Tract 5803, Cook County, Illinois",100,58.4,0,2.8,15.9,0,23,0
"Census Tract 5804, Cook County, Illinois",100,62.1,2.7,0,10.3,0,24.9,0
"Census Tract 5805.01, Cook County, Illinois",98.9,71.2,1.7,0,5.4,0,20.6,1.1
"Census Tract 5805.02, Cook County, Illinois",98.2,69,4.3,0,6.3,0,18.6,1.8
"Census Tract 5806, Cook County, Illinois",99.8,72.9,4.1,0,4.7,0,18.2,0.2
"Census Tract 5807, Cook County, Illinois",99.9,69.4,0.5,0,4.9,0,25.1,0.1
"Census Tract 5808, Cook County, Illinois",100,66.4,1.3,1.8,0,0,30.5,0
"Census Tract 5905, Cook County, Illinois",98.9,57.8,1.3,0.3,20.7,0,18.9,1.1
"Census Tract 5906, Cook County, Illinois",97.3,50.9,0.9,2.8,10.7,0,31.9,2.7
"Census Tract 5907, Cook County, Illinois",98,55.1,6.4,0,10.1,0,26.3,2
"Census Tract 6004, Cook County, Illinois",95.5,31.1,0.4,0.6,58.2,0,5.3,4.5
"Census Tract 6006, Cook County, Illinois",97.7,38.8,0,4.5,43.9,0,10.4,2.3
"Census Tract 6007, Cook County, Illinois",97.8,52,5.4,0.9,25.7,0,13.8,2.2
"Census Tract 6009, Cook County, Illinois",95.6,46.4,12.1,0.5,26,0,10.7,4.4
"Census Tract 6103, Cook County, Illinois",95.1,61.8,4.8,0.4,3.7,0,24.3,4.9
"Census Tract 6104, Cook County, Illinois",98.2,65.3,3.4,4.9,0,0,24.6,1.8
"Census Tract 6108, Cook County, Illinois",98.8,95.3,1.2,0,0,0,2.2,1.2
"Census Tract 6110, Cook County, Illinois",100,21,61.1,0,0,0,17.9,0
"Census Tract 6111, Cook County, Illinois",99.5,59,17.3,0,0,0,23.2,0.5
"Census Tract 6112, Cook County, Illinois",99.4,59.1,21.3,0,0.5,0,18.5,0.6
"Census Tract 6113, Cook County, Illinois",98,55.1,13.4,0,0,0,29.5,2
"Census Tract 6114, Cook County, Illinois",98.3,56.9,4.8,0,0,0,36.6,1.7
"Census Tract 6115, Cook County, Illinois",100,61.8,9.4,0.6,0,0,28.2,0
"Census Tract 6116, Cook County, Illinois",100,11.6,81,0,0,0,7.4,0
"Census Tract 6117, Cook County, Illinois",98.1,20.7,71.4,0,0,0,6,1.9
"Census Tract 6118, Cook County, Illinois",96.5,25.6,56.6,0,0,0.4,13.9,3.5
"Census Tract 6119, Cook County, Illinois",99.2,10.5,87.7,0,0,0,1,0.8
"Census Tract 6120, Cook County, Illinois",99.9,0.4,91.4,0,0,0,8.2,0.1
"Census Tract 6121, Cook County, Illinois",100,8.6,88.9,0,2.5,0,0,0
"Census Tract 6201, Cook County, Illinois",99.7,58.2,4.4,0.3,1.5,0,35.3,0.3
"Census Tract 6202, Cook County, Illinois",99,59.9,0.4,0,3.6,0,35.1,1
"Census Tract 6203, Cook County, Illinois",98.7,65.3,1,0,1.1,0,31.2,1.3
"Census Tract 6204, Cook County, Illinois",99.4,59.9,1.7,0.2,0.8,0,36.8,0.6
"Census Tract 6301, Cook County, Illinois",100,56.6,21.2,0.6,0,0,21.6,0
"Census Tract 6302, Cook County, Illinois",98.6,52.8,0.5,0,5.7,0,39.7,1.4
"Census Tract 6303, Cook County, Illinois",100,69.8,0.3,0.7,1,0,28.2,0
"Census Tract 6304, Cook County, Illinois",99.5,45.4,0,0,0.5,0,53.6,0.5
"Census Tract 6305, Cook County, Illinois",98.6,52.3,1.7,0,1.1,0,43.5,1.4
"Census Tract 6308, Cook County, Illinois",98.1,56.3,4.6,0.8,1.5,0,34.9,1.9
"Census Tract 6309, Cook County, Illinois",99.8,48.8,1.3,0.8,0.4,0,48.4,0.2
"Census Tract 6401, Cook County, Illinois",98.7,73.4,0,0,3.3,0,22.1,1.3
"Census Tract 6403, Cook County, Illinois",96,81.1,0.2,0,0.3,0,14.5,4
"Census Tract 6404, Cook County, Illinois",92.3,70.4,0,0.2,0.8,0,21,7.7
"Census Tract 6405, Cook County, Illinois",97.6,84.9,2.1,0,0.9,0,9.7,2.4
"Census Tract 6406, Cook County, Illinois",98.5,78.6,0,0,3.9,0,15.9,1.5
"Census Tract 6407, Cook County, Illinois",95.4,72.8,0,0.3,1.2,0,21.1,4.6
"Census Tract 6408, Cook County, Illinois",98.7,63.2,5.1,0,0.3,0,30.1,1.3
"Census Tract 6501, Cook County, Illinois",93.5,35.7,2.9,0.2,0.4,0,54.2,6.5
"Census Tract 6502, Cook County, Illinois",95.2,45.6,1.4,1.4,0,0,46.8,4.8
"Census Tract 6503.01, Cook County, Illinois",98.7,51.3,1.1,0.2,0,0,46.2,1.3
"Census Tract 6503.02, Cook County, Illinois",96.4,48.3,2.8,0,0,0,45.3,3.6
