GEO.display-label,HC03_VC48,HC03_VC49,HC03_VC50,HC03_VC56,HC03_VC64,HC03_VC69,HC03_VC70
"Census Tract 2425, Cook County, Illinois",96.8,74.8,4,3.1,0,15,3.2
"Census Tract 2426, Cook County, Illinois",96.2,62.1,18.2,2.8,0,11.7,3.8
"Census Tract 2427, Cook County, Illinois",97.1,53.9,24.9,2.5,0,15.9,2.9
"Census Tract 2428, Cook County, Illinois",98.8,88.2,0.7,3.5,0,6.4,1.3
"Census Tract 2429, Cook County, Illinois",93.7,72.9,7.5,3.2,0,10.1,6.3
"Census Tract 2430, Cook County, Illinois",100,74.2,2.8,4.5,0,18.5,0
"Census Tract 2431, Cook County, Illinois",99.8,75.2,4.4,1.8,0,17.4,0.2
"Census Tract 2432, Cook County, Illinois",97.1,82.8,0.7,2.8,0,10.8,2.9
"Census Tract 2433, Cook County, Illinois",100,84.6,3.2,5.7,0,6.5,0
"Census Tract 2434, Cook County, Illinois",97.1,71.5,7,4.2,0,13.8,2.9
"Census Tract 2435, Cook County, Illinois",96.7,77.6,11.1,7.5,0,0.5,3.3
"Census Tract 2502, Cook County, Illinois",99.6,19.2,56.8,1.4,0,22.1,0.4
"Census Tract 2503, Cook County, Illinois",98.7,5.6,69,1.4,0.3,22.4,1.3
"Census Tract 2504, Cook County, Illinois",98.1,6.3,77.9,0.2,0,13.7,1.9
"Census Tract 2505, Cook County, Illinois",97,52,33.5,1.8,0,9.5,3
"Census Tract 2506, Cook County, Illinois",99.3,2.5,91.4,0,0,5.4,0.7
"Census Tract 2507, Cook County, Illinois",100,0.5,96.2,0.3,0,3,0
"Census Tract 2508, Cook County, Illinois",98.9,5.7,74.6,1.4,0,17.2,1.1
"Census Tract 2510, Cook County, Illinois",100,12.4,82.2,0,0,5.4,0
"Census Tract 2511, Cook County, Illinois",98.3,0.9,88,0.5,0,8.9,1.7
"Census Tract 2512, Cook County, Illinois",100,1.8,87,1.6,0,9.6,0
"Census Tract 2513, Cook County, Illinois",99.4,9.2,82.7,0,0,7.5,0.6
"Census Tract 2514, Cook County, Illinois",99.8,3.7,95.2,0.5,0,0.3,0.2
"Census Tract 2515, Cook County, Illinois",99.1,4.1,91.1,0,0,3.9,0.9
"Census Tract 2516, Cook County, Illinois",97.3,2.4,88.5,0,0,5.8,2.7
"Census Tract 2517, Cook County, Illinois",100,5.8,76.7,0.8,2,13.1,0
"Census Tract 2518, Cook County, Illinois",100,3.5,96.5,0,0,0,0
"Census Tract 2519, Cook County, Illinois",100,0.9,96.2,0,0,2.1,0
"Census Tract 2520, Cook County, Illinois",99.9,2.9,97,0,0,0,0.1
"Census Tract 2521.01, Cook County, Illinois",98.5,1.2,90.2,0,0,7,1.5
"Census Tract 2521.02, Cook County, Illinois",100,0,100,0,0,0,0
"Census Tract 2522.01, Cook County, Illinois",99.6,5.1,94.5,0,0,0,0.4
"Census Tract 2522.02, Cook County, Illinois",99.5,2.7,96.9,0,0,0,0.5
"Census Tract 2601, Cook County, Illinois",99.4,9.1,90.3,0,0,0,0.6
"Census Tract 2602, Cook County, Illinois",100,2,98,0,0,0,0
"Census Tract 2603, Cook County, Illinois",100,1.8,95,0,0,3.2,0
"Census Tract 2604, Cook County, Illinois",100,0.7,99.3,0,0,0,0
"Census Tract 2605, Cook County, Illinois",100,0.5,96.8,0.1,0,2.7,0
"Census Tract 2606, Cook County, Illinois",100,4,94.2,1.7,0,0,0
"Census Tract 2607, Cook County, Illinois",99.3,1.4,91.4,0.9,0,5.2,0.7
"Census Tract 2608, Cook County, Illinois",100,0.7,99.1,0.2,0,0,0
"Census Tract 2609, Cook County, Illinois",100,7.4,90.8,0,0,1,0
"Census Tract 2610, Cook County, Illinois",99.8,0.1,99.1,0,0,0.6,0.2
"Census Tract 2705, Cook County, Illinois",98.2,4.2,88.7,0,0,4.5,1.8
"Census Tract 2712, Cook County, Illinois",99.1,3.7,93.9,0,0,1.4,0.9
"Census Tract 2713, Cook County, Illinois",100,0.9,98.7,0,0,0.3,0
"Census Tract 2714, Cook County, Illinois",97.9,3.6,94.3,0,0,0,2.1
"Census Tract 2715, Cook County, Illinois",98.2,2.6,95.7,0,0,0,1.8
"Census Tract 2718, Cook County, Illinois",100,0.8,99.2,0,0,0,0
"Census Tract 2801, Cook County, Illinois",99.2,81.3,4.2,12.5,0,0.9,0.8
"Census Tract 2804, Cook County, Illinois",99.4,5.2,91.8,2.4,0,0,0.6
"Census Tract 2808, Cook County, Illinois",98.5,8.3,89,0,0,1.3,1.5
"Census Tract 2809, Cook County, Illinois",97.6,13.3,81,0.5,0,2.9,2.4
"Census Tract 2819, Cook County, Illinois",97.9,47.6,7.4,42.9,0,0,2.1
"Census Tract 2827, Cook County, Illinois",97.8,27.4,58,7.7,0,4.7,2.2
"Census Tract 2828, Cook County, Illinois",97.4,46.1,24.7,15,0,9.5,2.6
"Census Tract 2831, Cook County, Illinois",96.5,29.1,41.8,24.4,0.3,0.9,3.5
"Census Tract 2832, Cook County, Illinois",96.1,40.4,33,20.5,0,1.1,3.9
"Census Tract 2838, Cook County, Illinois",97.6,37,44.2,15.1,0,1.3,2.4
"Census Tract 2909, Cook County, Illinois",99.7,0.8,98.9,0,0,0,0.3
"Census Tract 2912, Cook County, Illinois",99.8,2.6,97.2,0,0,0,0.2
"Census Tract 2916, Cook County, Illinois",100,46.2,17.8,1.2,0,34.8,0
"Census Tract 2922, Cook County, Illinois",99.2,4.6,94.4,0,0,0,0.8
"Census Tract 2924, Cook County, Illinois",99.8,5.5,94.2,0,0,0,0.2
"Census Tract 2925, Cook County, Illinois",99.7,1.5,94.1,0,0,2.1,0.3
"Census Tract 3005, Cook County, Illinois",99,67.2,5,0.6,0,26.1,1
"Census Tract 3006, Cook County, Illinois",98.4,57.6,13.6,0,0,26.8,1.6
"Census Tract 3007, Cook County, Illinois",99.8,65,0.8,0,0,33.1,0.2
"Census Tract 3008, Cook County, Illinois",99.2,63,0.5,0,0,35.7,0.8
"Census Tract 3009, Cook County, Illinois",98.1,67.9,2.4,0,0,27.5,1.9
"Census Tract 3011, Cook County, Illinois",99.8,54.2,3.3,0,0,40.7,0.2
"Census Tract 3012, Cook County, Illinois",98.4,53.9,8.4,1.6,0,30.5,1.6
"Census Tract 3016, Cook County, Illinois",99.3,70.6,2.2,0,0,26.4,0.7
"Census Tract 3017.01, Cook County, Illinois",100,85.1,0.1,0,0,14.8,0
"Census Tract 3017.02, Cook County, Illinois",99.6,65.9,0,0,0,33.6,0.4
"Census Tract 3018.01, Cook County, Illinois",100,72.7,2,0,0,25.3,0
"Census Tract 3018.02, Cook County, Illinois",98.8,64.1,0.6,0,0,33.2,1.2
"Census Tract 3018.03, Cook County, Illinois",97.8,62.4,2.1,0.4,0,32.9,2.2
"Census Tract 3102, Cook County, Illinois",97.6,64,5.9,7.3,0,20.4,2.4
"Census Tract 3103, Cook County, Illinois",94.8,48.1,2,10.1,0,34.4,5.2
"Census Tract 3104, Cook County, Illinois",98,54.4,5.8,4.1,0,33.8,2
"Census Tract 3105, Cook County, Illinois",97.2,64.1,0.5,0.3,0,32.2,2.8
"Census Tract 3106, Cook County, Illinois",96.8,52.5,7.8,1.4,0,34.4,3.2
"Census Tract 3107, Cook County, Illinois",99.7,56.6,4.2,4.9,0,34,0.3
"Census Tract 3108, Cook County, Illinois",98.6,56.1,0.2,0.8,0,40.8,1.4
"Census Tract 3109, Cook County, Illinois",98.9,56.9,2.3,0.1,0,39.6,1.1
"Census Tract 3201, Cook County, Illinois",98.9,75,4.9,17.7,0,0.9,1.1
"Census Tract 3204, Cook County, Illinois",96.1,68,12.5,13.4,0.4,1.7,3.9
"Census Tract 3206, Cook County, Illinois",96.6,57.8,19.4,17.2,0,1.8,3.4
"Census Tract 3301, Cook County, Illinois",95.7,50.3,22.5,19.8,0,3.1,4.3
"Census Tract 3302, Cook County, Illinois",95,46,29.9,18.4,0,0,5
"Census Tract 3403, Cook County, Illinois",98.9,21.8,1.5,75.7,0,0,1.1
"Census Tract 3404, Cook County, Illinois",97.4,8.7,0.1,83.3,2.3,2.8,2.6
"Census Tract 3405, Cook County, Illinois",100,60.8,5.2,31.7,0,1.7,0
"Census Tract 3406, Cook County, Illinois",97.3,0.2,97.1,0,0,0,2.7
"Census Tract 3501, Cook County, Illinois",95.6,7.7,51.1,35,0,1.3,4.4
"Census Tract 3504, Cook County, Illinois",98.1,1.2,93.6,0,0,3.3,1.9
"Census Tract 3510, Cook County, Illinois",98.9,4.6,70.6,23.8,0,0,1.1
"Census Tract 3511, Cook County, Illinois",98.9,2.2,96.4,0,0.2,0,1.1
"Census Tract 3514, Cook County, Illinois",98.8,6.8,90.3,1.7,0,0,1.2
"Census Tract 3515, Cook County, Illinois",100,22.1,47.9,30,0,0,0
"Census Tract 3602, Cook County, Illinois",100,0.2,97.5,2.3,0,0,0
"Census Tract 3801, Cook County, Illinois",98.1,3.6,94.4,0.1,0,0,1.9
"Census Tract 3802, Cook County, Illinois",97.9,5.5,89,1.1,0.5,0,2.1
"Census Tract 3805, Cook County, Illinois",99.6,0.5,98.8,0.4,0,0,0.4
"Census Tract 3807, Cook County, Illinois",97.9,17.7,79.6,0.6,0,0,2.1
"Census Tract 3812, Cook County, Illinois",95.1,3,89.8,0,0,0.5,4.9
"Census Tract 3814, Cook County, Illinois",100,0.3,99.7,0,0,0,0
"Census Tract 3815, Cook County, Illinois",100,12.7,83.3,4,0,0,0
"Census Tract 3817, Cook County, Illinois",,,,,,,
"Census Tract 3818, Cook County, Illinois",96.8,3.9,80.2,0.4,0,11.5,3.2
"Census Tract 3819, Cook County, Illinois",98.7,7.8,91,0,0,0,1.3
"Census Tract 3901, Cook County, Illinois",95.6,3.7,90.1,1.9,0,0,4.4
"Census Tract 3902, Cook County, Illinois",99.1,12,81.4,5.7,0,0,0.9
"Census Tract 3903, Cook County, Illinois",98.1,7.3,89.5,0.2,0,1.1,1.9
"Census Tract 3904, Cook County, Illinois",99.1,10.7,87,0.8,0,0,0.9
"Census Tract 3905, Cook County, Illinois",98.7,24.6,66.5,6.5,0,1.1,1.3
"Census Tract 3906, Cook County, Illinois",88.9,42,42.9,2.1,0,1.9,11.1
"Census Tract 3907, Cook County, Illinois",97.9,25.7,48.7,21.5,0,2,2.1
"Census Tract 4003, Cook County, Illinois",98.9,7,90.6,0.3,0,1.1,1.1
"Census Tract 4004, Cook County, Illinois",99.4,0.3,99.2,0,0,0,0.6
"Census Tract 4005, Cook County, Illinois",99.2,0,99.2,0,0,0,0.8
"Census Tract 4008, Cook County, Illinois",98.5,0,95.4,0,0,0,1.5
"Census Tract 4101, Cook County, Illinois",94.3,32.8,47.4,7.3,0,6.7,5.7
"Census Tract 4102, Cook County, Illinois",96.9,47.4,17.9,29.5,0,2.1,3.1
"Census Tract 4105, Cook County, Illinois",95.1,34.4,49.7,9.9,0,1.2,4.9
"Census Tract 4106, Cook County, Illinois",94.1,52.9,32.4,8.3,0,0.5,5.9
"Census Tract 4107, Cook County, Illinois",94,60,24.2,9.5,0,0.3,6
"Census Tract 4108, Cook County, Illinois",96.9,35.1,37.6,11.8,0,9.8,3.1
"Census Tract 4109, Cook County, Illinois",96,51.9,31.1,7.5,0,5.5,4
"Census Tract 4110, Cook County, Illinois",97.2,55.4,33.3,7.3,0,1.2,2.8
"Census Tract 4111, Cook County, Illinois",97.7,71.5,6.1,19.3,0,0.7,2.3
"Census Tract 4112, Cook County, Illinois",95.4,62,12.4,20.2,0,0.8,4.6
"Census Tract 4201, Cook County, Illinois",98.7,3.5,93.8,1.5,0,0,1.3
"Census Tract 4202, Cook County, Illinois",97.5,18.1,75.5,3.9,0,0,2.5
"Census Tract 4203, Cook County, Illinois",98.7,37.2,41.9,17.6,0,2,1.3
"Census Tract 4204, Cook County, Illinois",96.3,20.2,62.1,11.4,0,2.5,3.7
"Census Tract 4205, Cook County, Illinois",94.2,0.6,91.7,1.9,0,0,5.8
"Census Tract 4206, Cook County, Illinois",99.1,5.3,93.6,0.2,0,0,0.9
"Census Tract 4207, Cook County, Illinois",99.5,2.8,95.9,0,0,0,0.5
"Census Tract 4208, Cook County, Illinois",98.1,5.5,92.6,0,0,0,1.9
"Census Tract 4212, Cook County, Illinois",100,0,98.3,0.9,0,0.8,0
"Census Tract 4301.01, Cook County, Illinois",91.6,2.4,89.2,0,0,0,8.4
"Census Tract 4301.02, Cook County, Illinois",98.4,1.6,95,0,0,1.1,1.6
"Census Tract 4302, Cook County, Illinois",100,2.2,96.4,1.1,0,0.3,0
"Census Tract 4303, Cook County, Illinois",99.8,0.2,99.2,0.3,0,0,0.2
"Census Tract 4304, Cook County, Illinois",96.4,2,94.2,0.2,0,0,3.6
"Census Tract 4305, Cook County, Illinois",98.4,1.5,95.5,0.1,0,1.3,1.6
"Census Tract 4306, Cook County, Illinois",95.3,4,91.2,0.1,0,0,4.7
"Census Tract 4307, Cook County, Illinois",98.7,6.8,88.9,0.8,0,0.8,1.3
"Census Tract 4308, Cook County, Illinois",99.3,2.9,94.3,0,0,2.1,0.7
"Census Tract 4309, Cook County, Illinois",99.6,1.3,97.9,0.4,0,0,0.4
"Census Tract 4312, Cook County, Illinois",97.8,0.8,96,0,0,1,2.2
"Census Tract 4313.01, Cook County, Illinois",97.8,2.6,94.4,0,0,0,2.2
"Census Tract 4313.02, Cook County, Illinois",95,1.2,93.8,0,0,0,5
"Census Tract 4314, Cook County, Illinois",98.2,7.3,89.9,0.3,0,0.6,1.8
"Census Tract 4401.01, Cook County, Illinois",97.6,1.6,94.1,1.7,0,0.2,2.4
"Census Tract 4401.02, Cook County, Illinois",99.5,1,97.8,0,0.7,0,0.5
"Census Tract 4402.01, Cook County, Illinois",99.4,1.9,97,0,0,0.4,0.6
"Census Tract 4402.02, Cook County, Illinois",99,0.5,97.4,0.9,0,0.3,1
"Census Tract 4403, Cook County, Illinois",99.3,3.2,96.1,0,0,0,0.7
"Census Tract 4406, Cook County, Illinois",100,1.4,98.2,0,0,0.5,0
"Census Tract 4407, Cook County, Illinois",98.7,1.2,97.1,0.5,0,0,1.3
"Census Tract 4408, Cook County, Illinois",99.8,0,98.6,0,0,1.2,0.2
"Census Tract 4409, Cook County, Illinois",97.2,0.1,96.7,0,0,0,2.8
"Census Tract 4503, Cook County, Illinois",99.6,0,99.3,0,0,0.3,0.4
"Census Tract 4601, Cook County, Illinois",95.1,16.6,77.4,0,0,1.1,4.9
"Census Tract 4602, Cook County, Illinois",100,38.1,53.8,0,0,8.1,0
"Census Tract 4603.01, Cook County, Illinois",98.7,22.8,67.4,0,0.2,8.3,1.3
"Census Tract 4603.02, Cook County, Illinois",98.2,2.6,92.8,2.1,0,0.7,1.8
"Census Tract 4604, Cook County, Illinois",99.3,2.5,96.8,0,0,0,0.7
"Census Tract 4605, Cook County, Illinois",97.5,2.6,94.9,0,0,0,2.5
"Census Tract 4606, Cook County, Illinois",100,26.8,71.3,0,0,1.9,0
"Census Tract 4607, Cook County, Illinois",96.5,32.3,55.3,1.3,0,7.5,3.5
"Census Tract 4610, Cook County, Illinois",99.1,39.9,49.9,0,0,8.3,0.9
"Census Tract 4701, Cook County, Illinois",100,0,100,0,0,0,0
"Census Tract 4801, Cook County, Illinois",100,2.6,96.8,0,0,0.2,0
"Census Tract 4802, Cook County, Illinois",98.4,0,98.4,0,0,0,1.6
"Census Tract 4803, Cook County, Illinois",99,2.2,95.1,0.4,0,1.3,1
"Census Tract 4804, Cook County, Illinois",98.4,2.3,95.6,0,0,0.4,1.6
"Census Tract 4805, Cook County, Illinois",100,10.5,86.7,0,0,2.8,0
"Census Tract 4903, Cook County, Illinois",94.4,1.1,93,0,0,0.2,5.6
"Census Tract 4904, Cook County, Illinois",100,0,97.5,2.5,0,0,0
"Census Tract 4905, Cook County, Illinois",98.5,4.3,92.1,2,0,0,1.5
"Census Tract 4906, Cook County, Illinois",100,0.8,99.2,0,0,0,0
"Census Tract 4907, Cook County, Illinois",99.6,1.1,98.1,0.4,0,0,0.4
"Census Tract 4908, Cook County, Illinois",98.4,1.2,96.6,0,0,0.6,1.6
"Census Tract 4909.01, Cook County, Illinois",99,3.6,95.1,0.3,0,0,1
"Census Tract 4909.02, Cook County, Illinois",99.4,0.9,98,0.5,0,0,0.6
"Census Tract 4910, Cook County, Illinois",99.9,0.6,99.1,0,0,0,0.1
"Census Tract 4911, Cook County, Illinois",100,1.9,96.1,0,0,1.9,0
"Census Tract 4912, Cook County, Illinois",100,0.6,96.4,1.4,0,1.7,0
"Census Tract 4913, Cook County, Illinois",97.8,3.3,94.5,0,0,0,2.2
"Census Tract 4914, Cook County, Illinois",99.1,2.2,96.9,0,0,0,0.9
"Census Tract 5001, Cook County, Illinois",99.7,1.1,98.2,0.5,0,0,0.3
"Census Tract 5002, Cook County, Illinois",99.3,1.5,96.4,0.9,0,0.5,0.7
"Census Tract 5003, Cook County, Illinois",96.5,55.3,33.7,0,0,7.5,3.5
"Census Tract 5101, Cook County, Illinois",97.2,62.2,15.2,0,0,19.4,2.8
"Census Tract 5102, Cook County, Illinois",99.5,21.3,72.9,0.3,0,5,0.5
"Census Tract 5103, Cook County, Illinois",98,0.9,97,0,0,0.1,2
"Census Tract 5201, Cook County, Illinois",97.6,77.3,9,0,0,10.6,2.4
"Census Tract 5202, Cook County, Illinois",97.7,82.8,8.6,0,0,6.4,2.3
"Census Tract 5203, Cook County, Illinois",97.6,83.1,2.6,0.5,0,10.8,2.4
"Census Tract 5204, Cook County, Illinois",97.8,76.4,5.7,0,0,15.2,2.2
"Census Tract 5205, Cook County, Illinois",98.8,90.5,0.5,0,0,6.9,1.2
"Census Tract 5206, Cook County, Illinois",98.9,86.7,0,0,0,11.5,1.1
"Census Tract 5301, Cook County, Illinois",100,41.5,43.8,0,0,14,0
"Census Tract 5302, Cook County, Illinois",99.3,0,99.3,0,0,0,0.7
"Census Tract 5303, Cook County, Illinois",99,2.1,96.9,0,0,0,1
"Census Tract 5304, Cook County, Illinois",100,1.2,96.8,1,0,1.1,0
"Census Tract 5305.01, Cook County, Illinois",99.1,1.5,97.6,0,0,0,0.9
"Census Tract 5305.02, Cook County, Illinois",99.7,0.7,99,0,0,0,0.3
"Census Tract 5305.03, Cook County, Illinois",99.7,0.7,98.2,0.9,0,0,0.3
"Census Tract 5306, Cook County, Illinois",100,3.1,96.4,0,0,0,0
"Census Tract 5401.01, Cook County, Illinois",99.9,3.3,95.3,0.7,0,0,0.1
"Census Tract 5401.02, Cook County, Illinois",99.8,2.3,94.7,0,0,2.8,0.2
"Census Tract 5501, Cook County, Illinois",96.9,82,10,0,0,4,3.1
"Census Tract 5502, Cook County, Illinois",96.5,92.4,0,1.1,0,3,3.5
"Census Tract 5601, Cook County, Illinois",98.6,56.4,10.8,10.1,0,21.3,1.4
"Census Tract 5602, Cook County, Illinois",99,21.2,72,0.7,0,4.6,1
"Census Tract 5603, Cook County, Illinois",98.6,55.2,3.2,5.6,0,34.5,1.4
"Census Tract 5604, Cook County, Illinois",98.5,73.1,1,5.3,0,19.1,1.5
"Census Tract 5607, Cook County, Illinois",95.3,78,0.4,0,0,17,4.7
"Census Tract 5608, Cook County, Illinois",96.6,78.3,0.6,0.2,0,17.5,3.4
"Census Tract 5609, Cook County, Illinois",99,83.4,0.6,0.5,0,14.5,1
"Census Tract 5610, Cook County, Illinois",97.4,86.1,0.8,0,0,10.5,2.6
"Census Tract 5611, Cook County, Illinois",98.3,86.8,0,0,0,11.6,1.7
"Census Tract 5701, Cook County, Illinois",95.5,63.5,0.3,9.1,0,19.2,4.5
"Census Tract 5702, Cook County, Illinois",98.1,71.6,0.7,3.2,0,22,1.9
"Census Tract 5703, Cook County, Illinois",97.5,57,0.2,1.3,0,39,2.5
"Census Tract 5704, Cook County, Illinois",99.2,56.6,0.8,0.1,0,40,0.8
"Census Tract 5705, Cook County, Illinois",98.1,57.2,3.8,6.1,0.2,30.8,1.9
"Census Tract 5801, Cook County, Illinois",99.2,54.2,0.4,21.5,0,20.8,0.8
"Census Tract 5802, Cook County, Illinois",96.4,44.6,3.4,12.5,0,35.5,3.6
"Census Tract 5803, Cook County, Illinois",100,46,3.1,8.1,0,38.8,0
"Census Tract 5804, Cook County, Illinois",98.3,57.5,5.9,12.9,0,22.1,1.7
"Census Tract 5805.01, Cook County, Illinois",99.1,59.6,3.7,3.5,0,31.1,0.9
"Census Tract 5805.02, Cook County, Illinois",98,59.8,0.5,6.1,0,30.1,2
"Census Tract 5806, Cook County, Illinois",98.6,62.1,1.3,4.3,0,28.8,1.4
"Census Tract 5807, Cook County, Illinois",99.1,68.1,3.1,2.7,0,24.9,0.9
"Census Tract 5808, Cook County, Illinois",99.1,72.5,0.3,0,0,25.5,0.9
"Census Tract 5905, Cook County, Illinois",98.5,49.4,2.6,34,0,11.4,1.5
"Census Tract 5906, Cook County, Illinois",95.2,44.5,0.7,12.6,0,34.1,4.8
"Census Tract 5907, Cook County, Illinois",97.5,55.7,4.3,11.1,0,25.2,2.5
"Census Tract 6004, Cook County, Illinois",97.2,34.7,0.9,53.6,0,7.4,2.8
"Census Tract 6006, Cook County, Illinois",98.7,45,2.8,35,0,11.7,1.3
"Census Tract 6007, Cook County, Illinois",96.9,50.9,6.5,32.8,0,5.9,3.1
"Census Tract 6009, Cook County, Illinois",95.7,52.4,10.4,21,0,11.7,4.3
"Census Tract 6103, Cook County, Illinois",96,64.1,4.4,2.6,0,24.2,4
"Census Tract 6104, Cook County, Illinois",98.3,58.3,1.1,0,0,33.4,1.7
"Census Tract 6108, Cook County, Illinois",97.5,89.4,1.1,0,0,5.2,2.5
"Census Tract 6110, Cook County, Illinois",100,40.2,49.8,0,0,10,0
"Census Tract 6111, Cook County, Illinois",98.7,63.4,11.7,0,0,23.6,1.3
"Census Tract 6112, Cook County, Illinois",99.5,61.9,16.9,0.2,0,20.5,0.5
"Census Tract 6113, Cook County, Illinois",100,58.2,10.8,0,0,31.1,0
"Census Tract 6114, Cook County, Illinois",98.6,56.4,2.4,0,0,39.3,1.4
"Census Tract 6115, Cook County, Illinois",99.8,62.4,8.7,0.2,0,27.7,0.2
"Census Tract 6116, Cook County, Illinois",100,16,69.7,0,0,14.3,0
"Census Tract 6117, Cook County, Illinois",93.7,38,45.4,0,0,10.3,6.3
"Census Tract 6118, Cook County, Illinois",96.8,21.4,47.1,0,0,28.3,3.2
"Census Tract 6119, Cook County, Illinois",97.3,14.5,80.1,0,0,2.7,2.7
"Census Tract 6120, Cook County, Illinois",99.9,0.4,92.8,0,0,6.7,0.1
"Census Tract 6121, Cook County, Illinois",100,8.4,88.6,3,0,0,0
"Census Tract 6201, Cook County, Illinois",98.7,49.2,0.2,3.1,0,42.9,1.3
"Census Tract 6202, Cook County, Illinois",99.3,76.6,0.4,1.6,0,20.8,0.7
"Census Tract 6203, Cook County, Illinois",98.8,57,2.8,0.7,0,38.2,1.2
"Census Tract 6204, Cook County, Illinois",98.5,50.6,1,1.4,0,43.2,1.5
"Census Tract 6301, Cook County, Illinois",100,59.9,15.2,0,0,24.6,0
"Census Tract 6302, Cook County, Illinois",98.5,49.1,4,4.1,0,41.3,1.5
"Census Tract 6303, Cook County, Illinois",98.2,50.7,0.3,1.3,0,46,1.8
"Census Tract 6304, Cook County, Illinois",99.8,43,0.1,0.8,0,55.9,0.2
"Census Tract 6305, Cook County, Illinois",99.2,39,2.3,0.9,0,57,0.8
"Census Tract 6308, Cook County, Illinois",98.8,42.9,3.4,1.4,0,50.1,1.2
"Census Tract 6309, Cook County, Illinois",100,28.9,1.5,0.3,0,68.7,0
"Census Tract 6401, Cook County, Illinois",99,53.5,4.5,0.9,0,39.2,1
"Census Tract 6403, Cook County, Illinois",87.1,64.8,0,0.4,0,21.9,12.9
"Census Tract 6404, Cook County, Illinois",90.8,72.4,0,1,0,17.2,9.2
"Census Tract 6405, Cook County, Illinois",97.9,82.5,1.7,2.2,0,11.5,2.1
"Census Tract 6406, Cook County, Illinois",98,71.9,0,3.5,0,22.7,2
"Census Tract 6407, Cook County, Illinois",95.3,65.5,0.7,0.6,0,28.3,4.7
"Census Tract 6408, Cook County, Illinois",98.8,59.6,0.3,0.6,0,38.3,1.2
"Census Tract 6501, Cook County, Illinois",95.7,37.4,1.4,0.8,0,56.1,4.3
"Census Tract 6502, Cook County, Illinois",99.4,62.3,1.3,0,0,34.4,0.6
"Census Tract 6503.01, Cook County, Illinois",97,56.2,0,1.3,0,39.3,3
"Census Tract 6503.02, Cook County, Illinois",99.1,44.5,4.2,0,0,50.2,0.9
"Census Tract 6504, Cook County, Illinois",99.6,40.9,6,1,0,51.1,0.4
"Census Tract 6505, Cook County, Illinois",96.7,51.6,8.2,0.4,0,35.3,3.3
"Census Tract 6603.01, Cook County, Illinois",91.2,11.2,32.4,0,0,47.6,8.8
"Census Tract 6603.02, Cook County, Illinois",97.6,21.9,13.7,0.7,0,60.8,2.4
"Census Tract 6604, Cook County, Illinois",100,34.7,3.4,0,0,61.9,0
"Census Tract 6605, Cook County, Illinois",98,35.1,12.9,0,0,49.6,2
"Census Tract 6606, Cook County, Illinois",96.4,13.6,61.5,0.2,0,21.1,3.6
"Census Tract 6607, Cook County, Illinois",97.9,4.3,90.3,2.3,0,1.1,2.1
"Census Tract 6608, Cook County, Illinois",98.6,8.5,48.8,0.3,0,41,1.4
"Census Tract 6609, Cook County, Illinois",95.6,6.5,83.9,2.5,0,2.7,4.4
"Census Tract 6610, Cook County, Illinois",98.8,4.4,89.8,4.3,0,0.3,1.2
"Census Tract 6611, Cook County, Illinois",96.5,25.8,45.4,0.4,0,24.1,3.5
"Census Tract 6701, Cook County, Illinois",100,5.5,91.1,0,0,3.4,0
"Census Tract 6702, Cook County, Illinois",100,4.8,90.7,0,0,4.5,0
"Census Tract 6703, Cook County, Illinois",100,3.9,88.5,0,0,7.6,0
"Census Tract 6704, Cook County, Illinois",99.7,1.1,90.8,0,0,7.8,0.3
"Census Tract 6705, Cook County, Illinois",99.1,5.5,82.6,1,0,9.9,0.9
"Census Tract 6706, Cook County, Illinois",99.4,1.8,92.2,0,0,5.3,0.6
"Census Tract 6707, Cook County, Illinois",98,2.1,95.9,0,0,0,2
"Census Tract 6708, Cook County, Illinois",100,0.9,99.1,0,0,0,0
"Census Tract 6709, Cook County, Illinois",99.7,1.4,96.9,0,0,1.3,0.3
"Census Tract 6711, Cook County, Illinois",100,0.3,99.7,0,0,0,0
"Census Tract 6712, Cook County, Illinois",96.9,0,96.9,0,0,0,3.1
"Census Tract 6713, Cook County, Illinois",98.8,0.1,95.1,0,0,3.7,1.2
"Census Tract 6714, Cook County, Illinois",99.3,1.3,97.7,0,0,0.3,0.7
"Census Tract 6715, Cook County, Illinois",97.8,3.5,88.7,0,0,5.6,2.2
"Census Tract 6716, Cook County, Illinois",98.5,1.7,89.6,0,0,7.3,1.5
"Census Tract 6718, Cook County, Illinois",90.2,0,86.1,0,0,4,9.8
"Census Tract 6719, Cook County, Illinois",99.6,0.3,99.2,0,0,0,0.4
"Census Tract 6720, Cook County, Illinois",99.1,0.5,93.6,0,0,5.1,0.9
"Census Tract 6805, Cook County, Illinois",100,3.5,93.4,0,0,3.1,0
"Census Tract 6806, Cook County, Illinois",97.6,1,96.6,0,0,0,2.4
"Census Tract 6809, Cook County, Illinois",99.2,0.8,96.9,0.5,0,0,0.8
"Census Tract 6810, Cook County, Illinois",99.7,0.8,96.2,0,0,2.7,0.3
"Census Tract 6811, Cook County, Illinois",100,0.7,96.2,0,0,2.4,0
"Census Tract 6812, Cook County, Illinois",98.7,0,92,0,0,6.7,1.3
"Census Tract 6813, Cook County, Illinois",97.8,0,91.4,0,0.5,4.5,2.2
"Census Tract 6814, Cook County, Illinois",100,0,100,0,0,0,0
