GEO.id,GEO.display-label,HC03_VC48,HC03_VC49,HC03_VC50,HC04_VC51,HC03_VC56,HC03_VC64,HC03_VC69,HC03_VC70
Id,Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent Margin of Error; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
1400000US17031031900,"Census Tract 319, Cook County, Illinois",99.3,82.2,2,1,6.6,0,7.6,0.7
1400000US17031032100,"Census Tract 321, Cook County, Illinois",95.1,80.5,8,0.4,4,0,2.5,4.9
1400000US17031040100,"Census Tract 401, Cook County, Illinois",99.2,86.2,4.7,0.8,5,0,2.8,0.8
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",93.6,69.5,3.6,0.4,11.7,0,8.7,6.4
1400000US17031040202,"Census Tract 402.02, Cook County, Illinois",93.3,62.1,2.6,0.4,22,0,6.6,6.7
1400000US17031040300,"Census Tract 403, Cook County, Illinois",93.2,64.5,3.5,0.9,25.2,0,0,6.8
1400000US17031040401,"Census Tract 404.01, Cook County, Illinois",96.6,76.8,4.4,0.5,5.9,0,9.2,3.4
1400000US17031040402,"Census Tract 404.02, Cook County, Illinois",96,80.2,3,0.6,10.3,0,2.4,4
1400000US17031040600,"Census Tract 406, Cook County, Illinois",98.9,93.4,2.8,1.1,2,0,0.7,1.1
1400000US17031040700,"Census Tract 407, Cook County, Illinois",92.8,80.2,2.2,0.8,4.7,0,5.7,7.2
1400000US17031040800,"Census Tract 408, Cook County, Illinois",95.5,81.3,5.1,1.6,8,0,0,4.5
1400000US17031040900,"Census Tract 409, Cook County, Illinois",97.2,89,1.4,1.3,5.3,0,1.4,2.8
1400000US17031050100,"Census Tract 501, Cook County, Illinois",97.2,87.8,4.1,1.4,2.5,0,1.9,2.8
1400000US17031050200,"Census Tract 502, Cook County, Illinois",96.1,88.4,3.2,0.6,3.4,0,1,3.9
1400000US17031050300,"Census Tract 503, Cook County, Illinois",97,81.9,0.6,1.5,13.2,0,0.5,3
1400000US17031050500,"Census Tract 505, Cook County, Illinois",94.1,89.4,0.9,0.4,2.5,0,1.4,5.9
1400000US17031050600,"Census Tract 506, Cook County, Illinois",98.4,90.2,0.7,1.3,6.9,0,0.6,1.6
1400000US17031050700,"Census Tract 507, Cook County, Illinois",98.1,93,0.4,0.6,2.7,0,1.7,1.9
1400000US17031050800,"Census Tract 508, Cook County, Illinois",96.9,91.6,1.2,1.9,1.8,0,2.2,3.1
1400000US17031050900,"Census Tract 509, Cook County, Illinois",97.2,83.4,0.6,1.9,9.8,0,3.4,2.8
1400000US17031051000,"Census Tract 510, Cook County, Illinois",96.5,86.3,3.1,1.6,6.8,0,0.3,3.5
1400000US17031051100,"Census Tract 511, Cook County, Illinois",96.1,88.3,0,1.8,3,0,4.8,3.9
1400000US17031051200,"Census Tract 512, Cook County, Illinois",95.4,81.8,9.1,1.6,3.8,0,0.7,4.6
1400000US17031051300,"Census Tract 513, Cook County, Illinois",98,91.9,1.5,1,3.4,0,1.2,2
1400000US17031051400,"Census Tract 514, Cook County, Illinois",88.5,75.9,2.9,1.5,5,0,4.7,11.5
1400000US17031060100,"Census Tract 601, Cook County, Illinois",97.3,89.1,4.2,1,2.1,0,1.9,2.7
1400000US17031060200,"Census Tract 602, Cook County, Illinois",98.1,89.2,3.3,1.2,4.1,0.3,1.2,1.9
1400000US17031060300,"Census Tract 603, Cook County, Illinois",98.7,90.2,1.1,1,6.1,0,0.5,1.3
1400000US17031060400,"Census Tract 604, Cook County, Illinois",94.2,89.2,0.7,0.9,2.7,0,0.7,5.8
1400000US17031060500,"Census Tract 605, Cook County, Illinois",97.1,80.5,5.6,2.1,9.7,0,1.3,2.9
1400000US17031060800,"Census Tract 608, Cook County, Illinois",96.2,79.5,4.7,0.5,11.4,0,0.6,3.8
1400000US17031060900,"Census Tract 609, Cook County, Illinois",95.6,82.6,5.2,1.8,3,0,3.3,4.4
1400000US17031061000,"Census Tract 610, Cook County, Illinois",98.5,88.9,1.8,1.5,7.3,0,0.5,1.5
1400000US17031061100,"Census Tract 611, Cook County, Illinois",99.7,81.6,2,0.6,15.6,0,0,0.3
1400000US17031061200,"Census Tract 612, Cook County, Illinois",97.6,90.1,1.7,1.3,4.6,0,1.2,2.4
1400000US17031061500,"Census Tract 615, Cook County, Illinois",98.7,92.6,1.8,1.5,3.5,0,0.8,1.3
1400000US17031061800,"Census Tract 618, Cook County, Illinois",93.4,75.1,6.1,2.2,9.9,0,2.4,6.6
1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",97,75.1,2.2,1.1,15.5,0.2,3.3,3
1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",96.6,84.9,3.1,0.6,8,0,0.6,3.4
1400000US17031062000,"Census Tract 620, Cook County, Illinois",98.2,88.1,4,0.9,5.3,0,0.8,1.8
1400000US17031062100,"Census Tract 621, Cook County, Illinois",98.4,87.2,2.2,0.7,8.5,0,0.5,1.6
1400000US17031062200,"Census Tract 622, Cook County, Illinois",99.1,88.7,4.3,0.9,5.3,0,0.7,0.9
1400000US17031062300,"Census Tract 623, Cook County, Illinois",97.3,89.6,0.7,1.6,5.7,0,1.3,2.7
1400000US17031062400,"Census Tract 624, Cook County, Illinois",98.3,90.1,2.5,1.8,4.2,0,1.5,1.7
1400000US17031062500,"Census Tract 625, Cook County, Illinois",98.5,91.8,0,1.8,6.1,0,0.5,1.5
1400000US17031062600,"Census Tract 626, Cook County, Illinois",94.8,84.4,1.7,1.2,8.4,0,0.4,5.2
1400000US17031062700,"Census Tract 627, Cook County, Illinois",97.5,91.2,0.4,0.9,1.5,0,4.5,2.5
1400000US17031062800,"Census Tract 628, Cook County, Illinois",97.5,90.6,1.2,0.4,5.5,0,0,2.5
1400000US17031062900,"Census Tract 629, Cook County, Illinois",97.5,89.7,3.4,0.7,4,0,0.4,2.5
1400000US17031063000,"Census Tract 630, Cook County, Illinois",96.8,83.2,3.8,0.8,8.1,0.4,1.4,3.2
1400000US17031063100,"Census Tract 631, Cook County, Illinois",93.7,86,0.8,1.1,6.1,0,0.9,6.3
1400000US17031063200,"Census Tract 632, Cook County, Illinois",96.8,84.7,2.3,0.4,8.8,0,0.9,3.2
1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",94,80.4,8.9,1.1,3.8,0,0.9,6
1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",98,83.7,1.6,0.6,11.9,0,0.8,2
1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",99.2,87.8,2.6,2.1,8.7,0,0,0.8
1400000US17031063400,"Census Tract 634, Cook County, Illinois",97.5,88.7,4.3,1.3,4.4,0,0,2.5
1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",93.7,82.6,2.3,0.7,8.4,0,0.3,6.3
1400000US17031070102,"Census Tract 701.02, Cook County, Illinois",97.9,86.6,5.3,1,3.8,0.4,1.9,2.1
1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",99.6,85,6.1,1.7,6.9,0,1.6,0.4
1400000US17031070200,"Census Tract 702, Cook County, Illinois",96.9,81.6,6.3,0.7,7.4,0,1.7,3.1
1400000US17031070300,"Census Tract 703, Cook County, Illinois",96.3,86.5,1.4,0.8,7,0,1.3,3.7
1400000US17031070400,"Census Tract 704, Cook County, Illinois",98.6,85.4,6.2,0.8,6.2,0,0.8,1.4
1400000US17031070500,"Census Tract 705, Cook County, Illinois",97.8,87.4,6.2,0.9,3,0,1.3,2.2
1400000US17031070600,"Census Tract 706, Cook County, Illinois",99.4,94.7,1.4,0.8,3.2,0,0,0.6
1400000US17031070700,"Census Tract 707, Cook County, Illinois",98.7,82.8,6.2,0.6,8.4,0,1.2,1.3
1400000US17031071000,"Census Tract 710, Cook County, Illinois",96.7,85.3,4.3,0.3,6.8,0,0.1,3.3
1400000US17031071100,"Census Tract 711, Cook County, Illinois",95.8,87.3,3.6,0.9,3.9,0.2,0.8,4.2
1400000US17031071200,"Census Tract 712, Cook County, Illinois",97.8,85.4,2.5,1.4,9.9,0,0,2.2
1400000US17031071300,"Census Tract 713, Cook County, Illinois",98.6,84.9,2.2,0.7,9.1,0.3,2.1,1.4
1400000US17031071400,"Census Tract 714, Cook County, Illinois",95.1,83.2,5.3,0.6,6,0,0.6,4.9
1400000US17031071500,"Census Tract 715, Cook County, Illinois",96.7,83.3,3.3,0.5,8.9,0,1.2,3.3
1400000US17031071600,"Census Tract 716, Cook County, Illinois",96.6,84.8,6.9,1.6,4.8,0,0,3.4
1400000US17031071700,"Census Tract 717, Cook County, Illinois",98,77.7,9.4,0.7,7.3,0,3.2,2
1400000US17031071800,"Census Tract 718, Cook County, Illinois",96.8,74.9,15,1,6.7,0,0.3,3.2
1400000US17031080100,"Census Tract 801, Cook County, Illinois",98.5,88.1,6.5,0.7,2.5,0,0.9,1.5
1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",99.5,87.5,8,1.9,2.2,0,0.4,0.5
1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",99.5,88.2,2.5,0.7,8.7,0,0,0.5
1400000US17031080300,"Census Tract 803, Cook County, Illinois",98.3,81.7,7.4,0.6,8.2,0,1.1,1.7
1400000US17031080400,"Census Tract 804, Cook County, Illinois",95.8,42.5,49.7,2.4,1.9,0,0,4.2
1400000US17031081000,"Census Tract 810, Cook County, Illinois",97.4,69.5,14.8,0.4,11.4,0,1.7,2.6
1400000US17031081100,"Census Tract 811, Cook County, Illinois",96.7,75.4,11.8,0.7,5.8,0,3.7,3.3
1400000US17031081201,"Census Tract 812.01, Cook County, Illinois",99.3,83.5,2.1,0.6,11.7,0,2,0.7
1400000US17031081202,"Census Tract 812.02, Cook County, Illinois",99.4,90.2,0.8,0.9,5.9,0,2.5,0.6
1400000US17031081300,"Census Tract 813, Cook County, Illinois",98.7,77.4,4.7,0.5,16.4,0,0.2,1.3
1400000US17031081401,"Census Tract 814.01, Cook County, Illinois",93.8,78.4,3.6,1.2,11,0,0.8,6.2
1400000US17031081402,"Census Tract 814.02, Cook County, Illinois",97.2,69.8,4.6,1.3,20.8,0,1.2,2.8
1400000US17031081403,"Census Tract 814.03, Cook County, Illinois",99,73,2.7,0.8,22.8,0,0,1
1400000US17031081500,"Census Tract 815, Cook County, Illinois",95.2,72.7,2.9,0.5,18.6,0,1,4.8
1400000US17031081600,"Census Tract 816, Cook County, Illinois",95.1,71.6,3.4,0.7,19.6,0,0.5,4.9
1400000US17031081700,"Census Tract 817, Cook County, Illinois",94.7,73.2,3.4,1.8,15.1,0,1.5,5.3
1400000US17031081800,"Census Tract 818, Cook County, Illinois",97.6,86.8,1.8,0.3,8.3,0,0.7,2.4
1400000US17031081900,"Census Tract 819, Cook County, Illinois",97.7,42.6,39.5,1.3,13.2,0,1.5,2.3
1400000US17031090100,"Census Tract 901, Cook County, Illinois",97.1,92.2,0,0.8,1.2,0,3.6,2.9
1400000US17031090200,"Census Tract 902, Cook County, Illinois",99.2,94.9,2.3,0.4,2,0,0,0.8
1400000US17031090300,"Census Tract 903, Cook County, Illinois",98.7,93.2,0,2.1,5.1,0,0.5,1.3
1400000US17031100100,"Census Tract 1001, Cook County, Illinois",99.3,97.9,0,0.5,1.2,0,0.2,0.7
1400000US17031100200,"Census Tract 1002, Cook County, Illinois",98.1,91.4,0.6,0.4,0.2,0.3,5.6,1.9
1400000US17031100300,"Census Tract 1003, Cook County, Illinois",94.4,86.3,1.2,0.2,6.2,0,0.6,5.6
1400000US17031100400,"Census Tract 1004, Cook County, Illinois",97,94.4,0,0.9,2,0,0.7,3
1400000US17031100500,"Census Tract 1005, Cook County, Illinois",96.8,87.7,0.4,1.7,1.7,0.3,5.8,3.2
1400000US17031100600,"Census Tract 1006, Cook County, Illinois",98,87.2,0.9,0.5,6.2,0,3.7,2
1400000US17031100700,"Census Tract 1007, Cook County, Illinois",98.9,87,0.7,0.6,5.7,0,5.5,1.1
1400000US17031110100,"Census Tract 1101, Cook County, Illinois",98.8,82.3,1,0.5,7.4,0,8.1,1.2
1400000US17031110200,"Census Tract 1102, Cook County, Illinois",93.9,73.2,2.4,1.4,14.1,0,3.2,6.1
1400000US17031110300,"Census Tract 1103, Cook County, Illinois",98,83.2,0.7,0.5,10.6,0,3,2
1400000US17031110400,"Census Tract 1104, Cook County, Illinois",94.3,73.5,0.5,0.6,8.7,0,11.6,5.7
1400000US17031110501,"Census Tract 1105.01, Cook County, Illinois",95.5,78,0.7,0.5,11,0,5.9,4.5
1400000US17031110502,"Census Tract 1105.02, Cook County, Illinois",95.2,73.7,1.6,0.6,8.1,0,11.4,4.8
1400000US17031120100,"Census Tract 1201, Cook County, Illinois",95.4,92.2,0.3,0.7,1.4,0,1.5,4.6
1400000US17031120200,"Census Tract 1202, Cook County, Illinois",96.6,79.3,2,0.6,11.5,0,3.8,3.4
1400000US17031120300,"Census Tract 1203, Cook County, Illinois",98.5,80.3,0.8,0.4,16,0,1.3,1.5
1400000US17031120400,"Census Tract 1204, Cook County, Illinois",96.3,74,0.3,0.8,9.5,0,12.5,3.7
1400000US17031130100,"Census Tract 1301, Cook County, Illinois",99.5,71,2.5,0.4,25,0,0.6,0.5
1400000US17031130200,"Census Tract 1302, Cook County, Illinois",96.9,70.6,1.2,1.6,22.3,0,2.9,3.1
1400000US17031130300,"Census Tract 1303, Cook County, Illinois",95.6,54.9,4.6,1.4,30.3,0,4.9,4.4
1400000US17031140100,"Census Tract 1401, Cook County, Illinois",99,54.9,14,3.2,11.9,0,16.2,1
1400000US17031140200,"Census Tract 1402, Cook County, Illinois",97.6,63,5.3,0.1,17.3,1.2,10.8,2.4
1400000US17031140301,"Census Tract 1403.01, Cook County, Illinois",98.5,49.3,2.6,1,23.1,0,23.5,1.5
1400000US17031140302,"Census Tract 1403.02, Cook County, Illinois",87.7,51.5,5.4,0.7,16.2,0,14.6,12.3
1400000US17031140400,"Census Tract 1404, Cook County, Illinois",94.4,66.5,0.1,0.4,20.8,0,6.9,5.6
1400000US17031140500,"Census Tract 1405, Cook County, Illinois",93.2,50,4.4,0.6,24.9,0,14,6.8
1400000US17031140601,"Census Tract 1406.01, Cook County, Illinois",96.7,45.6,2.8,1,23.6,0,24.7,3.3
1400000US17031140602,"Census Tract 1406.02, Cook County, Illinois",96.8,55,6.2,0.5,8.9,0,26.7,3.2
1400000US17031140701,"Census Tract 1407.01, Cook County, Illinois",92.2,48.7,4.6,1.1,19.4,0,18.8,7.8
1400000US17031140702,"Census Tract 1407.02, Cook County, Illinois",95.2,67.7,5.6,0.2,5.6,0,16.1,4.8
1400000US17031140800,"Census Tract 1408, Cook County, Illinois",95.8,69,4.9,0.4,9.1,0,12.8,4.2
1400000US17031150200,"Census Tract 1502, Cook County, Illinois",91.6,71.1,1.7,0.4,6.1,0,12.7,8.4
1400000US17031150300,"Census Tract 1503, Cook County, Illinois",92.2,69.4,3.4,0.3,2.6,0,16.7,7.8
1400000US17031150401,"Census Tract 1504.01, Cook County, Illinois",93.7,76.7,0.9,1.5,3.8,0,11.2,6.3
1400000US17031150402,"Census Tract 1504.02, Cook County, Illinois",97.4,76.8,0,0.8,4.5,0,16,2.6
1400000US17031150501,"Census Tract 1505.01, Cook County, Illinois",96.1,76.1,3.5,0.6,4.5,0,12,3.9
