GEO.display-label,HC03_VC48,HC03_VC49,HC03_VC50,HC03_VC51,HC03_VC56,HC03_VC64,HC03_VC69,HC03_VC70
Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 101, Cook County, Illinois",95.8,49.5,40.3,0,3.9,0,2.2,4.2
"Census Tract 102.01, Cook County, Illinois",98.1,45.2,50,0.2,2.1,0,0.6,1.9
"Census Tract 102.02, Cook County, Illinois",96.6,43.9,33.5,0.2,9.9,0.7,8.3,3.4
"Census Tract 103, Cook County, Illinois",98.6,55.2,29.1,0.1,11.9,0,2.4,1.4
"Census Tract 104, Cook County, Illinois",96.7,72.5,14,0,8.4,0,2,3.3
"Census Tract 105.01, Cook County, Illinois",94.9,60.8,31.1,0,2.6,0,0.4,5.1
"Census Tract 105.02, Cook County, Illinois",97.6,57.5,16.1,0,17.3,0,6.7,2.4
"Census Tract 105.03, Cook County, Illinois",95.7,70.8,9.7,0,14.6,0,0.5,4.3
"Census Tract 106, Cook County, Illinois",95.1,62.8,29.3,0.1,1.6,0,1.3,4.9
"Census Tract 107.01, Cook County, Illinois",97.1,65,16.6,0,5.1,0,10.4,2.9
"Census Tract 107.02, Cook County, Illinois",95.2,56.5,20.4,0,4.6,0,13.7,4.8
"Census Tract 201, Cook County, Illinois",96.9,45,28.5,0,20.5,0,2.9,3.1
"Census Tract 202, Cook County, Illinois",98.3,72.5,4.6,0,18.7,0,2.5,1.7
"Census Tract 203.01, Cook County, Illinois",99.1,83.4,5.3,0.7,9.5,0,0.2,0.9
"Census Tract 203.02, Cook County, Illinois",99.1,65.3,11.7,0,16.8,0,5.3,0.9
"Census Tract 204, Cook County, Illinois",98.8,58,17.5,2.5,14,0,6.8,1.2
"Census Tract 205, Cook County, Illinois",94.1,43.5,20.9,0,19.8,0.1,9.8,5.9
"Census Tract 206.01, Cook County, Illinois",95.4,61.6,6.3,0.7,22.4,0,4.4,4.6
"Census Tract 206.02, Cook County, Illinois",95.2,49.3,8.3,0,29.7,0,7.8,4.8
"Census Tract 207.01, Cook County, Illinois",95,65.7,8.1,4.4,14.8,0,2,5
"Census Tract 207.02, Cook County, Illinois",94.5,57.4,3,0.2,32,0,1.8,5.5
"Census Tract 208.01, Cook County, Illinois",92.3,59.4,4.9,0,15.1,0,12.9,7.7
"Census Tract 208.02, Cook County, Illinois",98.8,37.1,7.4,0,47.8,0,6.4,1.2
"Census Tract 209.01, Cook County, Illinois",98.2,48.5,20.6,0,24.2,0,4.9,1.8
"Census Tract 209.02, Cook County, Illinois",99.2,60.8,18.6,0,19.4,0,0.4,0.8
"Census Tract 301.01, Cook County, Illinois",97.1,61.6,20,0.2,6.7,0,8.7,2.9
