GEO.display-label,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC58,HC03_VC63,HC03_VC64
Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 409, Cook County, Illinois",95.5,76.7,0.4,0,11.1,0,7.2,4.5
"Census Tract 501, Cook County, Illinois",98.4,87.1,2.5,0,7.9,0,0.8,1.6
"Census Tract 502, Cook County, Illinois",98.8,83.9,2.5,0,5.7,0,6.7,1.2
"Census Tract 503, Cook County, Illinois",97.2,89.3,0.8,1.5,5.7,0,0,2.8
"Census Tract 505, Cook County, Illinois",93,89.2,0.6,0,1.8,0,1.4,7
"Census Tract 506, Cook County, Illinois",98,93.8,2.5,0,1.7,0,0,2
"Census Tract 507, Cook County, Illinois",98.9,96.6,0.6,0,0,0,1.8,1.1
"Census Tract 508, Cook County, Illinois",98.9,92.5,0.3,1,4.5,0,0.6,1.1
"Census Tract 509, Cook County, Illinois",98.9,92.6,0,1,4.4,0,0.9,1.1
"Census Tract 510, Cook County, Illinois",100,83.8,0,0,11.3,0,5,0
"Census Tract 511, Cook County, Illinois",97.1,87.3,6,0,3.9,0,0,2.9
"Census Tract 512, Cook County, Illinois",98.3,88.6,2,0.5,5.9,0,1.2,1.7
"Census Tract 513, Cook County, Illinois",98.2,91.8,1.7,0,1.7,0,2.9,1.8
"Census Tract 514, Cook County, Illinois",96.8,86.2,2.6,0,4.5,0,3.4,3.2
"Census Tract 601, Cook County, Illinois",98.8,89.7,6.7,0,1.1,0,1.3,1.2
"Census Tract 602, Cook County, Illinois",99.5,83.2,2.5,0,8.4,0,5.4,0.5
"Census Tract 603, Cook County, Illinois",100,98.2,0.3,0,1.5,0,0,0
"Census Tract 604, Cook County, Illinois",98.5,93.8,0,0.6,1.9,0,2.2,1.5
"Census Tract 605, Cook County, Illinois",98.8,87.4,3.2,0.6,6.9,0,0.7,1.2
"Census Tract 608, Cook County, Illinois",98.8,70.6,7.5,0,17.4,0,3.3,1.2
"Census Tract 609, Cook County, Illinois",97.3,76.5,8.8,1.9,9.2,0,0.8,2.7
"Census Tract 610, Cook County, Illinois",96.5,86.2,0.5,0,8.7,0,1.2,3.5
"Census Tract 611, Cook County, Illinois",100,96.1,0,0.8,3.1,0,0,0
"Census Tract 612, Cook County, Illinois",94.3,87.9,1.4,0.6,4.4,0,0,5.7
"Census Tract 615, Cook County, Illinois",98.7,94.6,1.4,0,1.2,0,1.4,1.3
"Census Tract 618, Cook County, Illinois",99.4,90.8,1.3,0,6.4,0.4,0.6,0.6
"Census Tract 619.01, Cook County, Illinois",98.1,81.9,5,0,8.7,0.7,1.8,1.9
"Census Tract 619.02, Cook County, Illinois",97.6,82.6,5.2,0.6,8.8,0,0.5,2.4
"Census Tract 620, Cook County, Illinois",97.7,90.9,1.7,0,4.7,0,0.4,2.3
"Census Tract 621, Cook County, Illinois",98.6,83,0.8,0,11.1,0,3.7,1.4
"Census Tract 622, Cook County, Illinois",97.3,88.6,1.2,0,5.3,0,2.2,2.7
"Census Tract 623, Cook County, Illinois",98,94.4,0,0,3.4,0,0.2,2
"Census Tract 624, Cook County, Illinois",100,91.6,1.5,0,5.1,0,1.8,0
"Census Tract 625, Cook County, Illinois",97.7,84.4,2.6,0,9.6,0,1,2.3
"Census Tract 626, Cook County, Illinois",97.7,89.9,0.5,0,7,0,0.3,2.3
"Census Tract 627, Cook County, Illinois",97.3,89.8,1.1,0.6,2.2,0,3.6,2.7
"Census Tract 628, Cook County, Illinois",98,84.2,6.6,0,6,0,1.2,2
"Census Tract 629, Cook County, Illinois",98.7,95.3,0.4,0,2.6,0,0.4,1.3
"Census Tract 630, Cook County, Illinois",95.6,88.2,3,0.2,3.1,0,1.1,4.4
"Census Tract 631, Cook County, Illinois",98.1,84.9,3.1,0,7.8,0,2.4,1.9
"Census Tract 632, Cook County, Illinois",99.4,80.1,5.3,0,12.8,0,1.2,0.6
"Census Tract 633.01, Cook County, Illinois",98.3,81.1,6.2,0,11,0,0,1.7
"Census Tract 633.02, Cook County, Illinois",98.8,89.2,1,0,8,0,0.6,1.2
"Census Tract 633.03, Cook County, Illinois",100,95.1,1.6,0,3.3,0,0,0
"Census Tract 634, Cook County, Illinois",97.7,86.6,6.2,0,4.3,0,0.7,2.3
"Census Tract 701.01, Cook County, Illinois",97.1,88.3,1.4,0,7.4,0,0,2.9
"Census Tract 701.02, Cook County, Illinois",99.6,80.8,6.6,1.5,8.3,0,2.4,0.4
"Census Tract 701.03, Cook County, Illinois",100,90.8,0.8,0,8.1,0,0.4,0
"Census Tract 702, Cook County, Illinois",96.9,86.2,5.3,0,3.6,0,1.8,3.1
"Census Tract 703, Cook County, Illinois",96.7,79.7,1.2,0,15.1,0,0.6,3.3
"Census Tract 704, Cook County, Illinois",99.2,91.8,4.9,0,1.3,0,1.3,0.8
"Census Tract 705, Cook County, Illinois",99.4,87.9,4.2,1.1,4.7,0,1.4,0.6
"Census Tract 706, Cook County, Illinois",99.2,95.5,0.3,0,2.3,0,1.1,0.8
"Census Tract 707, Cook County, Illinois",98.2,77.4,3.1,0,11.5,0,6.1,1.8
"Census Tract 710, Cook County, Illinois",96.4,82,4.3,0.2,7.9,0,2,3.6
"Census Tract 711, Cook County, Illinois",97.2,88.2,2.7,0.2,5.3,0,0.7,2.8
"Census Tract 712, Cook County, Illinois",99.3,87.4,4.5,0,7.4,0,0,0.7
"Census Tract 713, Cook County, Illinois",99.1,90,2.9,0,6.2,0,0,0.9
"Census Tract 714, Cook County, Illinois",96.7,85.5,2.9,0.6,5.3,0,2.4,3.3
"Census Tract 715, Cook County, Illinois",99.6,88.2,6.3,0,3.4,0,1.7,0.4
"Census Tract 716, Cook County, Illinois",96.3,87.8,3.2,0,2.8,0,2.4,3.7
"Census Tract 717, Cook County, Illinois",99.5,80.3,12.2,0,4.8,0,2.2,0.5
"Census Tract 718, Cook County, Illinois",100,83.4,10.7,0,6,0,0,0
"Census Tract 801, Cook County, Illinois",98.6,90.6,0.9,0,6.6,0,0.6,1.4
"Census Tract 802.01, Cook County, Illinois",97.9,90.2,2.4,0,4.2,0,1.2,2.1
"Census Tract 802.02, Cook County, Illinois",99.6,83,5.7,0,11,0,0,0.4
"Census Tract 803, Cook County, Illinois",99.4,83.4,7.6,0,7.2,0,1.2,0.6
"Census Tract 804, Cook County, Illinois",98,33.7,59.7,1.8,2.8,0,0,2
"Census Tract 810, Cook County, Illinois",98.8,74,8.6,0,13.9,0,2.3,1.2
"Census Tract 811, Cook County, Illinois",100,83.1,6.4,0.6,5.5,0,4.4,0
