GEO.display-label,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC58,HC03_VC63,HC03_VC64
Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 101, Cook County, Illinois",94.7,32.1,51.1,0,10.2,0,1.3,5.3
"Census Tract 102.01, Cook County, Illinois",97.8,32.3,47.8,0,5.3,0,12.4,2.2
"Census Tract 102.02, Cook County, Illinois",94.9,45.2,36.7,0,2,0.2,10.8,5.1
"Census Tract 103, Cook County, Illinois",98.3,57.5,25.3,0,6,0,9.4,1.7
"Census Tract 104, Cook County, Illinois",97.3,70.9,13.9,0,9.5,0,3,2.7
"Census Tract 105.01, Cook County, Illinois",98.2,42,49.5,0,6,0,0.7,1.8
"Census Tract 105.02, Cook County, Illinois",91.6,58.4,19.6,0.9,9.4,0,3.3,8.4
"Census Tract 105.03, Cook County, Illinois",98.4,76.2,16.1,0,5.3,0,0.8,1.6
"Census Tract 106, Cook County, Illinois",95.8,45.6,28.3,0.1,5.3,0,16.5,4.2
"Census Tract 107.01, Cook County, Illinois",96,58.8,15.7,0,1.7,0,19.7,4
"Census Tract 107.02, Cook County, Illinois",98.5,44.6,20.3,0,1.4,0,32.3,1.5
"Census Tract 201, Cook County, Illinois",99,53.3,30.1,0,14.9,0,0.7,1
"Census Tract 202, Cook County, Illinois",98.5,58.3,17.1,0,21.9,0,1.2,1.5
"Census Tract 203.01, Cook County, Illinois",98.2,85,3.3,0,6.5,0,3.5,1.8
"Census Tract 203.02, Cook County, Illinois",94.7,67.6,9,0,10.4,0,7.7,5.3
"Census Tract 204, Cook County, Illinois",96.9,66.3,9.7,2.9,16.8,0,1.1,3.1
"Census Tract 205, Cook County, Illinois",95.6,34.2,14.1,0,28.7,0.2,18.3,4.4
"Census Tract 206.01, Cook County, Illinois",98.7,51.4,7.5,0.5,17.4,0,21.9,1.3
"Census Tract 206.02, Cook County, Illinois",96.6,34.2,6.8,1,24.5,0.9,29.3,3.4
"Census Tract 207.01, Cook County, Illinois",99.3,56.5,5.9,0,24,0,12.9,0.7
"Census Tract 207.02, Cook County, Illinois",98,50.6,4.7,0,37.8,0,4.9,2
"Census Tract 208.01, Cook County, Illinois",99.2,59.4,3.9,0,19.8,0,16.2,0.8
"Census Tract 208.02, Cook County, Illinois",97.6,39.4,11.8,2.5,28.9,0,15,2.4
"Census Tract 209.01, Cook County, Illinois",98.2,37.9,12.3,0.1,26.8,0,21.1,1.8
"Census Tract 209.02, Cook County, Illinois",96.6,48.9,14.5,0,23.9,0,9.2,3.4
"Census Tract 301.01, Cook County, Illinois",98.1,50,23.4,0.4,14.6,0,9.6,1.9
"Census Tract 301.02, Cook County, Illinois",97.6,55,23,0.7,15.2,0,3.7,2.4
"Census Tract 301.03, Cook County, Illinois",93.4,54.1,25.7,0,13,0,0.6,6.6
"Census Tract 301.04, Cook County, Illinois",93.3,61.8,16.5,0,12.3,0,2.7,6.7
"Census Tract 302, Cook County, Illinois",97,70.8,10.9,0,6,0,9.3,3
"Census Tract 303, Cook County, Illinois",98,57.3,5.8,0.9,10.9,0.5,22.6,2
"Census Tract 304, Cook County, Illinois",96.3,62.7,10.8,1,7.7,0,14.1,3.7
"Census Tract 305, Cook County, Illinois",97.3,67.9,6.8,0,8.9,0,13.7,2.7
"Census Tract 306.01, Cook County, Illinois",99,55.3,23.3,0,15.4,0,5.1,1
"Census Tract 306.03, Cook County, Illinois",99.2,50.7,39.4,0,8.5,0,0.7,0.8
"Census Tract 306.04, Cook County, Illinois",98.7,47.2,26,0,23.1,0,2.3,1.3
"Census Tract 307.01, Cook County, Illinois",99.6,53.4,26.7,1.1,13.6,0,4.8,0.4
"Census Tract 307.02, Cook County, Illinois",100,73.6,0,0,25.3,0,1.1,0
"Census Tract 307.03, Cook County, Illinois",98.7,66.2,19.4,0,10.8,0,2.4,1.3
"Census Tract 307.06, Cook County, Illinois",97.3,59.9,15.2,0,16.4,0,5.7,2.7
"Census Tract 308, Cook County, Illinois",97.4,80.3,0.3,0,11.5,0,5.2,2.6
"Census Tract 309, Cook County, Illinois",95.6,71,5.4,0,9.6,0,9.7,4.4
"Census Tract 310, Cook County, Illinois",98.2,73.9,3.9,0,3.9,0,16.6,1.8
"Census Tract 311, Cook County, Illinois",98.2,59,2.4,0,21.3,0,15.5,1.8
"Census Tract 312, Cook County, Illinois",95.7,36.5,31.1,0.2,19.5,0,8.3,4.3
"Census Tract 313, Cook County, Illinois",97.6,52.1,19,0.2,24.1,0,2.3,2.4
"Census Tract 314, Cook County, Illinois",97.8,78.4,7.1,0.3,8.6,0,3.4,2.2
"Census Tract 315.01, Cook County, Illinois",98.3,32,30.4,0,24.4,0,11.5,1.7
"Census Tract 315.02, Cook County, Illinois",98.9,41.8,45,0.6,6.6,0,5,1.1
"Census Tract 317, Cook County, Illinois",100,59.8,19.4,0,7.9,0,12.9,0
"Census Tract 318, Cook County, Illinois",100,87.8,2.1,0.7,7.6,0,1.8,0
"Census Tract 319, Cook County, Illinois",95.7,71.2,9.7,0,7.9,0,6.9,4.3
"Census Tract 321, Cook County, Illinois",97.8,66.6,14.2,0,7.2,0,9.8,2.2
"Census Tract 401, Cook County, Illinois",97.7,71,4.7,2.8,7.9,0,11.4,2.3
"Census Tract 402.01, Cook County, Illinois",95.6,68,2.3,1.4,12.3,0,11.6,4.4
"Census Tract 402.02, Cook County, Illinois",100,54.2,10.1,0,28.4,0,7.3,0
"Census Tract 403, Cook County, Illinois",98.2,51.5,8.9,0,30.9,0,6.9,1.8
"Census Tract 404.01, Cook County, Illinois",97.8,73.6,3.2,0.4,7.9,0.7,12,2.2
"Census Tract 404.02, Cook County, Illinois",98.6,83.1,4.1,0,3,3.3,5.1,1.4
"Census Tract 406, Cook County, Illinois",97.5,66.1,1.3,0.3,4.8,0,25.1,2.5
"Census Tract 407, Cook County, Illinois",97.5,78.2,3,0,6.4,0,9.9,2.5
