GEO.display-label,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC58,HC03_VC63,HC03_VC64
Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 101, Cook County, Illinois",94.1,35.3,50.2,0,7,0,1.6,5.9
"Census Tract 102.01, Cook County, Illinois",97.6,36.9,41.9,0,9.2,0,9.6,2.4
"Census Tract 102.02, Cook County, Illinois",92.5,50.3,33.3,0,1.8,0.3,6.8,7.5
"Census Tract 103, Cook County, Illinois",97.1,55.4,25.5,0.2,7.7,0,8.2,2.9
"Census Tract 104, Cook County, Illinois",97.3,72.9,13.1,0,9.9,0,1.3,2.7
"Census Tract 105.01, Cook County, Illinois",97.8,51.5,39.8,0,5.3,0,1.1,2.2
"Census Tract 105.02, Cook County, Illinois",93.5,54.6,16.4,1.2,17.4,0,3.8,6.5
"Census Tract 105.03, Cook County, Illinois",97.1,76.7,9.5,0,10.4,0,0.5,2.9
"Census Tract 106, Cook County, Illinois",96.6,46.6,27.4,0.1,3.9,0,18.6,3.4
"Census Tract 107.01, Cook County, Illinois",94.1,59,17,0,1.5,0,16.7,5.9
"Census Tract 107.02, Cook County, Illinois",98.1,48.4,19.5,0,1.6,0,28.6,1.9
"Census Tract 201, Cook County, Illinois",99.1,43.7,39.5,0,15.7,0,0.3,0.9
"Census Tract 202, Cook County, Illinois",98.6,56.1,22,0,19.8,0,0.7,1.4
"Census Tract 203.01, Cook County, Illinois",97.6,83.9,4.9,0,4.9,0,3.8,2.4
"Census Tract 203.02, Cook County, Illinois",95.4,62.1,9.2,0,15.5,0,8.6,4.6
"Census Tract 204, Cook County, Illinois",98,66.2,11.9,3,12.6,0,4.2,2
"Census Tract 205, Cook County, Illinois",92.4,38.6,14.7,0,24.6,0.2,14.2,7.6
"Census Tract 206.01, Cook County, Illinois",97.2,55.3,7.5,0.4,17.9,0,16.1,2.8
"Census Tract 206.02, Cook County, Illinois",96,39.9,8.8,0.9,25.8,1,19.5,4
"Census Tract 207.01, Cook County, Illinois",99.5,53.5,5.8,3.3,23.8,0,13,0.5
